GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "92000","Mideast",2,SAINC4,45,"..."," Equals: Net earnings by place of residence ","Millions of dollars",19586.8,18118.9,15356.3,11642.8,10956.7,12682.4,13935.2,15945.1,17142.5,15994.5,16952.3,18546.0,22466.4,28106.5,34080.4,36752.2,37307.1,39126.2,41710.8,45459.1,44936.7,48268.8,54830.4,58096.5,61814.5,61436.2,65142.8,69926.0,73560.8,74119.5,78340.5,81378.3,83952.6,88422.9,91675.2,97997.0,104566.9,112739.9,120243.3,131157.2,141331.6,151013.4,159911.8,172546.3,185016.4,197327.1,208405.3,224504.3,244733.6,270232.6,296091.1,320659.9,347146.8,366505.7,392171.2,431066.1,464021.3,498227.5,542037.3,595653.1,632360.6,671393.7,673261.9,717270.1,740457.4,764256.5,796458.3,837993.4,891779.9,952652.3,1021265.9,1109235.6,1159748.9,1176147.1,1203815.3,1268038.4,1312821.8,1381620.6,1454409.6,1470017.9,1441857.1,1505667.1,1585503.6,1639348.9,1662437.1,1713676.4,1779586.0,1831169.0,1908865.3,1991340.5,2057067.4,2047696.0,2187563.0,2289886.1
 "92000","Mideast",2,SAINC4,46,"..."," Plus: Dividends, interest, and rent 7/","Millions of dollars",7498.1,7101.0,6230.8,5241.9,4594.9,4596.2,4624.1,5081.0,5259.5,4677.3,4940.3,4968.9,5117.8,5071.0,5259.8,5487.7,5791.8,6309.4,6897.9,6482.0,6905.4,7802.5,8093.5,8607.8,9316.1,10024.6,10694.9,11529.4,12321.7,12559.5,13521.8,14532.9,15315.6,16864.2,18386.0,20142.1,21853.7,23175.8,24678.6,26718.1,28328.1,30856.6,33001.5,35187.6,38689.0,43426.3,46400.0,49379.5,54357.9,59882.1,67005.3,80550.7,97374.1,111493.1,118763.6,134820.2,143245.9,149705.0,151513.3,169106.6,193158.2,202218.4,204224.5,203089.8,206537.3,215357.4,232601.2,245344.3,260824.5,276938.7,275460.3,298158.3,298764.4,283145.3,287406.2,298122.4,316847.3,356448.0,399465.4,418645.1,374446.6,368600.1,404717.1,442748.4,434507.8,464328.8,489872.8,508166.6,544794.1,575165.1,596513.1,584591.6,633383.7,659120.2
 "92000","Mideast",2,SAINC4,47,"..."," Plus: Personal current transfer receipts ","Millions of dollars",344.5,355.5,643.4,511.9,529.3,591.0,699.6,905.7,608.1,786.0,798.3,796.3,774.0,744.7,664.9,802.7,1441.4,2718.2,2586.7,2469.8,2633.8,3503.4,2658.3,2722.8,2887.4,3452.3,3777.1,4034.1,4649.4,5715.0,5934.6,6119.1,6993.8,7150.0,7592.7,7861.1,8404.7,9400.9,11601.9,13871.7,15257.4,18105.2,21738.2,24419.2,27301.4,31808.1,40467.1,43748.1,46079.5,48863.3,53623.1,61744.4,69621.2,77306.3,83574.7,86964.7,91394.0,96578.7,99214.0,105368.4,113997.2,124883.8,141380.7,156803.3,165549.1,171490.9,181330.6,190318.2,192418.6,198997.7,206597.2,217954.5,234444.0,252821.8,262801.2,276644.3,286260.8,302652.3,319644.6,354671.5,388248.6,415944.8,422184.3,420299.8,426385.6,440304.8,461068.8,478263.8,498371.9,506494.6,534023.1,730154.4,776350.7,648377.4
 "92000","Mideast",2,SAINC4,50,"..."," Wages and salaries ","Millions of dollars",16330.9,15352.9,13140.8,10226.8,9579.7,10894.3,11748.9,13390.8,14526.8,13541.6,14402.6,15638.9,18805.7,23276.3,28218.3,30462.5,30597.2,31688.9,34885.5,38369.6,37966.1,40846.0,46466.3,49420.3,52800.0,52469.2,55583.3,59827.3,62848.0,62819.3,66671.7,69914.5,71749.3,75870.6,78778.6,83889.6,89479.0,97194.1,103896.7,113404.1,123542.0,132245.3,139424.8,150289.0,163472.7,175329.0,182513.2,195167.6,209707.0,230644.2,253269.3,276370.5,301527.3,319142.9,339181.3,372117.7,400614.6,430447.0,467173.0,508465.0,535440.3,563823.1,569486.7,598324.8,614746.7,634868.4,661906.5,695302.5,738066.0,792051.6,839674.4,910611.4,937037.7,940262.8,963801.9,1016948.5,1062938.8,1130899.7,1203982.4,1232211.9,1177682.4,1212276.9,1254188.9,1293711.8,1319046.5,1381521.9,1441471.3,1473368.6,1539635.5,1606658.2,1673629.7,1672628.7,1803586.1,1934730.0
 "92000","Mideast",2,SAINC4,60,"..."," Supplements to wages and salaries ","Millions of dollars",331.3,335.3,324.4,294.1,261.5,276.0,323.7,479.6,721.2,792.8,851.1,933.1,1155.9,1510.2,1815.1,1932.9,2092.5,2667.9,2547.9,2417.4,2551.4,2974.7,3656.9,3874.9,4123.6,4291.7,4656.9,5158.1,5762.7,5930.9,6596.5,7207.4,7640.1,8330.9,8872.5,9352.9,10043.4,11657.7,12369.5,13608.2,15709.5,17284.7,19463.4,22254.1,24631.3,26996.4,30882.0,33648.1,38009.2,42800.2,48429.5,53732.9,60552.9,65980.6,71998.4,79278.7,86208.1,93361.6,98898.6,107615.4,116898.9,123438.9,129792.6,142947.8,148618.1,153390.9,154660.3,157093.9,162214.6,171646.2,181429.2,196122.2,206735.6,217505.7,230171.3,244887.9,259699.3,268416.9,280233.3,288876.5,291679.7,301337.1,310164.8,314541.2,331155.9,337355.1,348638.0,351243.6,363933.9,382618.8,395486.4,394157.7,410185.0,421107.5
 "92000","Mideast",2,SAINC4,61,"...","  Employer contributions for employee pension and insurance funds 8/","Millions of dollars",329.5,333.7,323.3,292.3,260.5,275.1,322.5,381.9,401.7,418.8,433.6,484.0,601.1,848.6,1037.6,1187.7,1272.8,1343.5,1396.2,1534.3,1635.6,1926.5,2388.5,2692.6,2889.8,2961.3,3181.2,3534.2,3990.7,4137.6,4407.0,4643.3,4897.8,5163.6,5489.4,6020.7,6566.7,7273.4,7773.6,8665.0,9759.0,11043.5,12606.5,14290.6,14634.6,15975.2,19563.4,20908.0,24114.1,26905.8,30386.7,34266.8,38089.8,42035.5,45787.0,48957.1,53967.4,58662.2,62093.8,66821.5,74759.0,80043.4,85283.6,95957.9,99872.9,102249.6,102229.1,103394.8,106313.5,113308.0,120689.4,131039.9,138644.9,147972.5,158662.8,169631.7,181158.9,186070.3,194131.8,199883.4,204750.2,211784.1,217036.3,218516.4,232292.5,234617.7,241704.9,243000.7,251395.0,267417.8,276418.9,276291.2,283086.8,284962.2
 "92000","Mideast",2,SAINC4,62,"...","  Employer contributions for government social insurance ","Millions of dollars",1.8,1.6,1.2,1.8,0.9,0.9,1.1,97.7,319.5,374.0,417.6,449.1,554.8,661.5,777.5,745.3,819.7,1324.4,1151.7,883.2,915.8,1048.2,1268.4,1182.3,1233.8,1330.3,1475.7,1623.9,1772.0,1793.3,2189.5,2564.1,2742.2,3167.3,3383.1,3332.2,3476.7,4384.3,4595.9,4943.2,5950.5,6241.2,6856.9,7963.5,9996.7,11021.2,11318.6,12740.1,13895.1,15894.4,18042.9,19466.1,22463.1,23945.1,26211.4,30321.6,32240.6,34699.4,36804.8,40793.9,42139.9,43395.5,44509.0,46989.9,48745.2,51141.4,52431.2,53699.1,55901.2,58338.2,60739.7,65082.2,68090.7,69533.3,71508.5,75256.1,78540.4,82346.6,86101.5,88993.1,86929.6,89552.9,93128.5,96024.8,98863.3,102737.4,106933.1,108242.9,112538.9,115201.0,119067.5,117866.5,127098.2,136145.3
 "92000","Mideast",2,SAINC4,70,"..."," Proprietors' income 9/","Millions of dollars",2952.8,2459.1,1919.1,1150.0,1141.2,1538.5,1888.7,2200.2,2358.4,2174.5,2268.4,2591.5,3260.3,4240.7,5184.6,5550.6,5901.1,6507.5,5876.0,6126.9,5926.6,6290.6,6934.8,7062.6,7280.4,7332.2,7882.1,8216.9,8632.6,9011.1,9386.4,9372.9,9936.8,10144.0,10508.8,11349.6,11916.7,12790.4,13774.1,14846.5,14934.2,14844.3,15575.3,16488.7,17189.3,17458.0,18488.4,21542.8,25229.4,28967.3,31406.0,31335.0,32002.6,31504.2,35022.5,40637.0,43729.1,46089.0,52665.5,65217.4,69965.4,76882.6,69922.8,77977.3,82102.1,85547.4,93835.9,103057.4,114161.1,118391.8,135784.0,145176.9,165609.3,173081.6,169751.8,175794.9,168891.7,173075.1,172474.7,160506.7,177231.9,205019.1,222785.5,238573.8,246858.7,240468.3,245029.2,267723.5,280900.4,288354.5,286081.6,280575.0,293837.8,280346.7
 "92000","Mideast",2,SAINC4,71,"...","  Farm proprietors' income ","Millions of dollars",382.1,314.9,285.4,162.2,210.0,226.0,346.9,313.5,381.4,288.7,265.5,273.8,361.4,562.4,670.6,700.7,733.0,886.8,766.5,896.6,672.4,645.4,810.6,769.3,713.6,596.0,517.5,594.5,485.5,702.1,504.7,611.7,613.1,434.4,495.8,496.6,581.5,621.2,672.6,620.3,797.5,734.9,644.9,635.4,974.9,811.6,677.1,700.1,478.0,715.2,871.6,464.5,843.6,729.8,384.1,1193.0,1290.5,1516.8,1592.8,1406.4,1732.5,1519.5,1060.5,1678.9,1451.6,1254.2,581.5,1485.7,571.8,1044.1,1140.2,1416.3,1429.4,226.3,1313.5,2084.2,2131.7,1494.3,1729.6,2165.0,1372.0,2265.9,3309.9,3298.8,4206.5,4342.8,2682.3,1217.1,2759.2,1377.5,3238.6,2113.9,3684.1,4675.1
 "92000","Mideast",2,SAINC4,72,"...","  Nonfarm proprietors' income ","Millions of dollars",2570.6,2144.2,1633.8,987.8,931.2,1312.4,1541.8,1886.7,1976.9,1885.8,2003.0,2317.7,2898.9,3678.3,4514.0,4849.9,5168.1,5620.7,5109.5,5230.2,5254.2,5645.2,6124.1,6293.4,6566.8,6736.2,7364.5,7622.4,8147.2,8309.0,8881.7,8761.2,9323.6,9709.5,10013.0,10852.9,11335.2,12169.1,13101.5,14226.2,14136.7,14109.4,14930.4,15853.3,16214.3,16646.5,17811.3,20842.7,24751.4,28252.1,30534.4,30870.5,31159.0,30774.4,34638.4,39443.9,42438.6,44572.2,51072.7,63811.0,68232.8,75363.1,68862.3,76298.4,80650.5,84293.2,93254.4,101571.6,113589.4,117347.8,134643.8,143760.6,164179.9,172855.3,168438.3,173710.8,166760.0,171580.8,170745.0,158341.8,175859.9,202753.2,219475.6,235275.0,242652.2,236125.5,242346.9,266506.4,278141.2,286977.0,282843.0,278461.0,290153.7,275671.5
 "92000","Mideast",2,SAINC4,7010,"...","Total employment ","Number of jobs",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),19431595,19465172,19298876,19521401,19968419,19954192,19479921,19562540,19848352,20411324,20871108,20910540,20978499,20858208,21044896,21765755,22333480,22836571,23321041,23926563,24200579,24260159,23702617,23597395,23714155,23879127,24157121,24386892,24762673,25170029,25710165,26409297,26495670,26442192,26528681,26904133,27308641,27713156,28252113,28370900,27759118,27763164,28281830,28579112,28989257,29462145,29957634,30374610,30686992,31232945,31352042,29683844,30703682,32219083
 "92000","Mideast",2,SAINC4,7020,"..."," Wage and salary employment ","Number of jobs",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),17386174,17391982,17199641,17400307,17811751,17809259,17311512,17370687,17607726,18149895,18567992,18535542,18592890,18365051,18494349,19171709,19576364,19948822,20459867,20843304,21110804,21017399,20452082,20243282,20363447,20539885,20671352,20778571,21138652,21556532,21990402,22477345,22448117,22302450,22207480,22348621,22534615,22761401,22959777,22983924,22247126,22191220,22383095,22644644,22865737,23162238,23487656,23780450,24044661,24371937,24627613,22584998,23209298,24187992
 "92000","Mideast",2,SAINC4,7040,"..."," Proprietors employment ","Number of jobs",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),2045421,2073190,2099235,2121094,2156668,2144933,2168409,2191853,2240626,2261429,2303116,2374998,2385609,2493157,2550547,2594046,2757116,2887749,2861174,3083259,3089775,3242760,3250535,3354113,3350708,3339242,3485769,3608321,3624021,3613497,3719763,3931952,4047553,4139742,4321201,4555512,4774026,4951755,5292336,5386976,5511992,5571944,5898735,5934468,6123520,6299907,6469978,6594160,6642331,6861008,6724429,7098846,7494384,8031091
"Note: See the included footnote file."
"SAINC4: Personal income and employment by major component "
"Last updated: September 29, 2023-- revised statistics for 1979-2022."
"U.S. Bureau of Economic Analysis"
