GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "98000","Far West",8,SAINC4,10,"...","Personal income (millions of dollars) ","Millions of dollars",7355.1,6765.2,5781.1,4499.1,4273.4,4863.9,5433.5,6511.0,6904.1,6827.4,7130.4,7874.1,10109.1,14191.8,18706.3,20280.3,20805.8,22008.4,22826.2,24696.4,25043.3,29193.2,33625.7,37035.2,39440.4,40467.2,44116.5,47838.4,50995.2,53292.3,58022.7,61278.7,64770.0,69808.0,74242.4,80067.7,85799.3,93565.1,100755.3,110715.6,121725.1,131575.5,140637.1,154352.9,170589.1,191194.4,212899.0,236674.9,262401.2,298985.6,339286.5,385164.0,430452.7,460351.5,496621.9,546427.1,588723.5,630005.8,672948.2,734350.8,795727.6,857540.5,895025.3,948259.8,979463.1,1017352.2,1072422.4,1141298.8,1210811.4,1314332.6,1403240.3,1536589.5,1592908.4,1620546.0,1693126.4,1800778.9,1901852.8,2050381.0,2155172.9,2207774.7,2137487.4,2226134.6,2362927.3,2501102.1,2536151.9,2697504.9,2886096.5,3016423.1,3169741.0,3339906.5,3524619.7,3828494.5,4179488.1,4193955.2
 "98000","Far West",8,SAINC4,11,"..."," Nonfarm personal income 1/","Millions of dollars",6753.8,6216.9,5398.7,4256.9,3964.7,4450.1,4947.1,5956.3,6360.0,6359.1,6681.1,7375.5,9348.4,12994.6,17035.2,18547.8,19006.5,19889.9,20901.9,22972.1,23579.9,27483.1,31547.6,34877.9,37466.2,38588.8,42181.7,45803.1,49048.9,51478.4,56117.4,59331.7,62922.8,67852.7,72350.7,78072.3,83814.8,91337.2,98661.9,108369.0,119293.5,129186.7,138225.0,151301.2,166416.0,185901.1,208183.2,231983.9,257848.7,294363.8,333521.3,377945.8,424740.5,454556.2,490783.4,539965.0,582494.0,622861.3,664628.2,725553.7,786987.2,848391.0,886774.5,939290.4,969185.7,1007695.5,1063232.1,1130576.3,1199788.3,1303692.3,1392253.6,1525441.0,1582339.9,1609361.6,1680023.3,1785396.9,1886670.1,2037246.9,2139110.6,2193664.6,2122337.2,2209791.3,2343442.4,2479447.8,2511076.2,2670691.8,2859093.9,2993149.6,3145628.9,3320847.1,3504717.2,3806518.6,4159507.5,4173745.6
 "98000","Far West",8,SAINC4,12,"..."," Farm income 2/","Millions of dollars",601.4,548.3,382.3,242.2,308.6,413.7,486.3,554.7,544.1,468.3,449.3,498.6,760.7,1197.2,1671.1,1732.5,1799.3,2118.6,1924.2,1724.3,1463.4,1710.0,2078.1,2157.3,1974.3,1878.4,1934.7,2035.3,1946.3,1813.9,1905.3,1947.0,1847.2,1955.3,1891.7,1995.4,1984.5,2227.9,2093.3,2346.6,2431.6,2388.8,2412.2,3051.7,4173.1,5293.4,4715.8,4691.0,4552.5,4621.8,5765.2,7218.2,5712.2,5795.3,5838.5,6462.1,6229.5,7144.5,8320.0,8797.1,8740.4,9149.5,8250.8,8969.3,10277.4,9656.7,9190.3,10722.5,11023.1,10640.3,10986.7,11148.5,10568.5,11184.4,13103.1,15381.9,15182.7,13134.1,16062.3,14110.1,15150.2,16343.3,19484.9,21654.3,25075.8,26813.1,27002.6,23273.5,24112.1,19059.4,19902.4,21975.9,19980.6,20209.6
 "98000","Far West",8,SAINC4,20,"...","Population (persons) 3/","Number of persons",8123000,8327000,8465000,8546000,8629000,8753000,8905000,9120000,9360000,9526000,9688000,9889000,10254000,10985000,12025000,12803000,13264000,13514000,13650000,13880000,14219000,15392000,15942000,16530000,17217000,17820000,18384000,19101000,19764000,20469000,21159000,21659000,22378000,23114000,23811000,24389000,24908000,25311000,25779000,26151000,26635000,27101402,27570486,27918162,28327835,28800911,29346033,29929494,30553208,31285112,31964927,32779936,33433990,34086401,34716476,35321190,36037077,36815133,37640660,38542275,39534189,40610409,41427985,42225887,42797622,43271002,43744822,44314342,45053779,45798042,46505506,47188420,47891178,48493357,49053068,49601761,50090268,50570529,51031362,51608614,52167532,52684613,53171603,53650540,54120872,54651324,55207598,55738346,56174005,56477384,56663461,56770093,56467775,56406816
 "98000","Far West",8,SAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",905,812,683,526,495,556,610,714,738,717,736,796,986,1292,1556,1584,1569,1629,1672,1779,1761,1897,2109,2240,2291,2271,2400,2504,2580,2604,2742,2829,2894,3020,3118,3283,3445,3697,3908,4234,4570,4855,5101,5529,6022,6638,7255,7908,8588,9557,10614,11750,12875,13505,14305,15470,16337,17113,17878,19053,20128,21116,21604,22457,22886,23511,24515,25755,26875,28698,30174,32563,33261,33418,34516,36305,37969,40545,42232,42779,40974,42254,44440,46618,46861,49358,52277,54118,56427,59137,62203,67439,74015,74352
 "98000","Far West",8,SAINC4,35,"..."," Earnings by place of work ","Millions of dollars",5480.1,5086.7,4212.9,3256.3,3169.6,3748.9,4252.6,5040.4,5548.6,5434.9,5705.9,6311.7,8368.9,12509.9,17021.1,18480.5,18639.3,19326.7,19606.9,20775.7,20654.0,23832.3,28326.0,31330.9,33053.7,33423.2,36457.7,39779.2,41991.6,43282.2,47632.0,50096.7,52686.5,57133.9,60880.8,65378.9,69593.7,76945.0,82211.4,90692.4,98898.1,104267.3,110171.3,121855.5,135332.8,150154.7,164357.9,184759.0,206191.9,236614.6,269516.2,299036.5,326665.3,344135.7,370610.6,410275.5,443461.2,479075.3,522024.2,572547.3,611483.7,659355.4,686395.3,726164.9,745758.9,772600.1,806814.7,857988.7,921555.4,1006155.4,1090474.6,1204931.6,1241472.2,1266819.3,1321811.0,1412752.8,1487352.3,1579922.2,1635809.6,1629704.2,1567780.9,1629352.4,1710794.8,1803903.4,1870581.3,1966129.7,2089372.4,2180663.0,2302433.5,2428787.6,2559773.9,2622771.8,2878302.5,3006530.1
 "98000","Far West",8,SAINC4,36,"..."," Less: Contributions for government social insurance 5/","Millions of dollars",6.0,5.9,5.7,5.8,5.3,5.8,5.8,65.9,132.0,145.3,167.2,175.5,226.9,337.9,511.3,602.6,715.0,963.4,769.8,621.9,643.9,758.7,876.7,943.8,940.6,1083.4,1244.7,1348.5,1529.7,1585.2,1984.5,2357.3,2495.7,2978.5,3460.6,3581.8,3731.5,4926.5,5452.0,6122.7,6625.5,6894.4,7515.5,8728.9,11057.7,12600.1,13655.7,15727.1,17861.9,21059.1,25060.4,27353.7,32526.4,34875.0,38249.4,43877.1,48005.6,52251.2,56780.8,64107.1,69059.5,74731.4,78399.4,82247.0,84533.7,88381.5,91651.1,95355.3,101059.1,108700.5,116479.5,127413.3,132590.1,136502.3,143038.1,155498.0,163438.4,170371.6,174759.9,177516.8,172542.0,174523.6,164046.3,170676.8,199349.2,210370.2,222573.6,231944.6,244870.5,259121.7,273212.0,278251.3,304455.9,330995.6
 "98000","Far West",8,SAINC4,37,"...","  Employee and self-employed contributions for government social insurance ","Millions of dollars",5.4,5.4,5.3,5.3,5.0,5.5,5.4,9.3,46.7,50.4,53.9,58.0,76.0,126.8,224.5,292.6,313.3,243.2,227.6,207.4,183.5,251.2,296.1,336.6,362.1,435.4,499.2,552.8,652.8,681.1,814.1,989.2,1045.1,1157.5,1396.6,1479.1,1584.4,2199.6,2510.5,2795.1,3204.7,3337.4,3602.0,4114.3,5199.3,5949.9,6438.5,7188.6,8120.1,9442.6,11326.0,12311.9,14925.6,16207.1,17643.5,19905.2,22396.6,24803.7,27453.8,31287.3,33988.7,36702.1,38849.1,40609.3,41816.8,43923.6,45955.1,47874.9,50730.2,54615.7,58927.7,64693.7,67203.5,68827.8,70968.6,76404.6,81006.9,85938.3,89504.7,92534.6,90871.5,91930.7,77115.7,79622.9,105018.1,111265.4,117727.2,123047.8,130450.5,139841.7,148483.9,150952.1,167477.1,183128.1
 "98000","Far West",8,SAINC4,38,"...","  Employer contributions for government social insurance ","Millions of dollars",0.6,0.5,0.4,0.6,0.3,0.3,0.4,56.6,85.4,94.9,113.3,117.4,151.0,211.2,286.8,310.0,401.8,720.2,542.2,414.5,460.5,507.5,580.6,607.3,578.6,648.0,745.5,795.7,876.9,904.1,1170.4,1368.1,1450.5,1821.0,2064.0,2102.8,2147.1,2726.9,2941.4,3327.6,3420.9,3557.0,3913.5,4614.6,5858.4,6650.2,7217.1,8538.5,9741.8,11616.5,13734.4,15041.8,17600.7,18667.9,20605.9,23971.9,25609.0,27447.5,29327.0,32819.8,35070.8,38029.4,39550.3,41637.7,42716.9,44457.8,45696.0,47480.5,50328.9,54084.8,57551.7,62719.6,65386.6,67674.5,72069.6,79093.4,82431.5,84433.3,85255.2,84982.3,81670.5,82592.9,86930.6,91053.9,94331.1,99104.8,104846.4,108896.8,114420.0,119280.0,124728.1,127299.2,136978.8,147867.5
 "98000","Far West",8,SAINC4,42,"..."," Plus: Adjustment for residence 6/","Millions of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-6.2,-19.6,-13.5,-40.4,-46.4,-47.8,-74.1,-83.6,-88.5,-88.7,0.1,-0.2,-0.9,-1.5,-2.6,-4.9,-6.1,-7.0,-8.3,-9.7,-12.2,-149.1,-177.5,-202.6,-210.9,-212.5,-292.9,-482.0,-593.6,-398.9,-318.1,-37.0,-122.9,-175.2,-210.7,-235.9,-307.2,-364.6,-378.6,-450.1,-540.2,-635.6,-747.8,-744.8,-731.7,-724.2,-750.4,-781.9,-851.2,-927.9,-1017.5,-1086.7,-1187.7,-1266.3,-1344.9,-1506.7,-1719.7,-1892.7,-1961.5,-2095.5,-2235.3,-2098.9,-2016.3,-1919.6,-1975.2,-1828.9,-2000.5,-2123.6,-2444.8,-2696.5,-2814.1,-3276.0,-3382.0,-3849.3,-4277.4
