GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "20000","Kansas",4,SAINC91,30,"...","Adjustment for residence ","Thousands of dollars",967794,946737,1026719,1115403,1065707,1157438,1146987,1044263,1064475,1018286,1121270,1133213,1199303,1170805,1119940,1261378,1369635,1256733,1414209,1694886,1675084,1239467,1641038,1370334,1188025,1155652,1274754,1540106,1550933,1661134,1546786,2062368,2397652
 "21000","Kentucky",5,SAINC91,10,"...","Inflows of earnings ","Thousands of dollars",2570633,2715834,2910757,3035456,3223753,3378465,3589719,3837360,4154713,4453221,4762850,4936321,5099328,5275674,5513838,5736484,6043108,6280010,6465378,6190465,6333847,6695264,7006212,7029925,7316095,7469354,7672627,7967703,8270169,8537608,8541453,9120006,9784087
 "21000","Kentucky",5,SAINC91,20,"...","Outflows of earnings ","Thousands of dollars",2602320,2753786,3165628,3280689,3551830,3708645,3903726,4152368,4342233,4725016,5057450,5379786,5605806,6008538,6438315,7046742,7398277,7777850,8254393,8040820,8470508,9036076,9400621,9067930,9293521,9525946,9686087,10108783,10676295,11241515,11630842,12770136,13791803
 "21000","Kentucky",5,SAINC91,30,"...","Adjustment for residence ","Thousands of dollars",-31687,-37952,-254871,-245233,-328077,-330180,-314007,-315008,-187520,-271795,-294600,-443465,-506478,-732864,-924477,-1310258,-1355169,-1497840,-1789015,-1850355,-2136661,-2340812,-2394409,-2038005,-1977426,-2056592,-2013460,-2141080,-2406126,-2703907,-3089389,-3650130,-4007716
 "22000","Louisiana",5,SAINC91,10,"...","Inflows of earnings ","Thousands of dollars",562904,589768,621374,641695,674885,693841,715340,773133,829322,880079,925687,971717,1000485,1022106,1072272,1163220,1297276,1433603,1572896,1549021,1612516,1793794,1986024,2066762,2206578,2215639,2086967,2094995,2228233,2339996,2225499,2235578,2496690
 "22000","Louisiana",5,SAINC91,20,"...","Outflows of earnings ","Thousands of dollars",673711,716260,745838,770346,823042,870262,919225,991590,1065603,1096792,1155673,1243759,1299662,1371242,1455137,1524860,1722602,1886940,2071239,2034728,2128227,2209811,2335947,2476789,2768146,2795320,2822924,3049179,3119417,3051944,2839235,3048248,3236607
 "22000","Louisiana",5,SAINC91,30,"...","Adjustment for residence ","Thousands of dollars",-110807,-126492,-124464,-128651,-148157,-176421,-203885,-218457,-236281,-216713,-229986,-272042,-299177,-349136,-382865,-361640,-425326,-453337,-498343,-485707,-515711,-416017,-349923,-410027,-561568,-579681,-735957,-954184,-891184,-711948,-613736,-812670,-739917
 "23000","Maine",1,SAINC91,10,"...","Inflows of earnings ","Thousands of dollars",406130,410007,448353,482099,528964,587403,637634,716535,794684,874995,1007624,1010892,998181,1007727,1070609,1103783,1169711,1202128,1204638,1187237,1247897,1346926,1406148,1452025,1536483,1626298,1681266,1728959,1805494,1901058,1936765,2210725,2264312
 "23000","Maine",1,SAINC91,20,"...","Outflows of earnings ","Thousands of dollars",335304,321826,316334,290833,278110,269585,266413,271746,276003,290607,306465,298471,321205,350827,387968,414205,447310,479288,499052,499636,518648,550837,574466,581859,608401,640827,678570,709226,736317,775481,798455,875739,943944
 "23000","Maine",1,SAINC91,30,"...","Adjustment for residence ","Thousands of dollars",70826,88181,132019,191266,250854,317818,371221,444789,518681,584388,701159,712421,676976,656900,682641,689578,722401,722840,705586,687601,729249,796089,831682,870166,928082,985471,1002696,1019733,1069177,1125577,1138310,1334986,1320368
 "24000","Maryland",2,SAINC91,10,"...","Inflows of earnings ","Thousands of dollars",16462974,17202308,18385788,18956768,19594343,20026983,20725772,21842124,23273264,25676785,27988508,29506069,30763025,32572760,34795419,36793776,37466925,39036657,39887201,39822572,41360143,42859750,43088613,42517440,43350372,44443652,45891110,47728495,50243916,51947266,53078638,55805405,58941770
 "24000","Maryland",2,SAINC91,20,"...","Outflows of earnings ","Thousands of dollars",4348167,4542537,4967132,5318061,5558856,6024226,6350023,7534549,7604962,8929943,8998442,9638558,10524294,11466458,12243170,13179400,14514948,15420376,16807253,16586866,17722747,19576891,20142843,19598298,21264607,22031240,23315727,24691877,25674639,25370624,25324562,28359421,29018154
 "24000","Maryland",2,SAINC91,30,"...","Adjustment for residence ","Thousands of dollars",12114807,12659771,13418656,13638707,14035487,14002757,14375749,14307575,15668302,16746842,18990066,19867511,20238731,21106302,22552249,23614376,22951977,23616281,23079948,23235706,23637396,23282859,22945770,22919142,22085765,22412412,22575383,23036618,24569277,26576642,27754076,27445984,29923616
 "25000","Massachusetts",1,SAINC91,10,"...","Inflows of earnings ","Thousands of dollars",2774609,2766724,2946619,3068892,3217624,3434433,3643550,3960966,4447166,4743382,5214991,5479058,5612308,5882715,6302716,6660355,7107497,7540713,7774986,7548139,7953198,8526042,8937205,9211395,9687947,10105358,10292586,10693039,11021395,11303533,11506801,12395541,13167126
 "25000","Massachusetts",1,SAINC91,20,"...","Outflows of earnings ","Thousands of dollars",4848453,5004045,5292148,5630306,5981966,6260881,6737432,7362966,8048995,8928735,10264895,10675881,10702763,10977215,11893002,12089927,12806404,13650237,13851970,13019880,13948838,15174064,16316561,16553374,16627653,17856039,18594947,19530769,20681181,23067382,23579291,22389599,24681244
 "25000","Massachusetts",1,SAINC91,30,"...","Adjustment for residence ","Thousands of dollars",-2073844,-2237321,-2345529,-2561414,-2764342,-2826448,-3093882,-3402000,-3601829,-4185353,-5049904,-5196823,-5090455,-5094500,-5590286,-5429572,-5698907,-6109524,-6076984,-5471741,-5995640,-6648022,-7379356,-7341979,-6939706,-7750681,-8302361,-8837730,-9659786,-11763849,-12072490,-9994058,-11514118
 "26000","Michigan",3,SAINC91,10,"...","Inflows of earnings ","Thousands of dollars",1321747,1376057,1525812,1654033,1856333,1967184,2075458,2261921,2448939,2647068,2836541,2847110,2927392,3021972,3170216,3273321,3419286,3514411,3474736,3223561,3391897,3691659,4005576,4114549,4359160,4549732,4763804,4922590,5250211,5444915,5249591,6067493,6434037
 "26000","Michigan",3,SAINC91,20,"...","Outflows of earnings ","Thousands of dollars",863726,888447,973653,1026420,1102761,1170369,1252955,1352700,1456089,1566584,1738481,1658470,1711909,1751410,1803430,1830546,1789363,1838344,1793237,1707193,1813335,1967604,2097336,2201820,2291171,2425392,2499262,2602657,2718884,2796116,2662004,2825989,3024672
 "26000","Michigan",3,SAINC91,30,"...","Adjustment for residence ","Thousands of dollars",458021,487610,552159,627613,753572,796815,822503,909221,992850,1080484,1098060,1188640,1215483,1270562,1366786,1442775,1629923,1676067,1681499,1516368,1578562,1724055,1908240,1912729,2067989,2124340,2264542,2319933,2531327,2648799,2587587,3241504,3409365
