GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "98000","Far West *",8,SAINC50,82,"...","   Less: Refunds ","Thousands of dollars",224963,301260,212613,223001,270497,340070,364079,407812,445197,465359,522866,581336,650116,736355,813867,908897,993267,821954,975982,1325523,1598244,1730210,2253144,2395069,2332843,3631581,3951939,5786916,4693263,5181727,5769316,6005564,7384853,8460875,9968385,10610573,11326057,11389576,12393613,12611725,11355521,11268286,12317961,14015615,13885414,13025417,13102141,14163097,14735286,15210574,16262993,20352645,21647977,24712999,30583220,29532801,30720968,29545145,32600153,34934216,48757947,46256133,42291324,38244525,38725197,36911202,38125574,38456502,42537312,44740416,44295552,39010346,39101156,45496955,42916823
 "98000","Far West *",8,SAINC50,120,"..."," State governments ","Thousands of dollars",111206,124000,142891,171486,188484,193929,211206,244850,294116,319858,321406,391188,493673,515766,547452,595893,658808,718504,906101,1100138,1627338,1729431,1808566,1990559,2991681,2903368,2928606,3855612,4494413,5408427,6664806,6921467,8713825,8762706,9609385,10122303,12446039,13809320,14800534,17480649,16283538,20155941,21585771,21553828,22065001,22319094,22719643,24874820,27673141,30430837,35194651,39612483,48934384,50070519,40020657,41100496,44442079,53211830,60486230,62543043,64789591,51402665,56082115,62370781,69683430,79851971,84392151,93483673,95913039,103088955,110109745,114777796,127088592,159795072,164494940
 "98000","Far West *",8,SAINC50,130,"...","  Income taxes ","Thousands of dollars",82311,89711,98070,122497,135753,135746,142059,171172,213977,232877,228979,287846,385792,407745,442360,487750,548625,604732,687782,871269,1390107,1474290,1532454,1709120,2692790,2567582,2569244,3482871,4099781,4997644,6222196,6429765,8172684,8172287,8910531,9399778,11703837,13006452,13860881,16344539,15053575,18886185,20207774,20052704,20550290,20858666,21242731,23307115,26173483,28828605,33515631,37878208,47108296,48277466,38141999,39046599,42101501,50691926,57824291,59802955,61983242,48451575,53031483,59127135,66121517,76199148,80619676,89580606,91947701,98839794,105408985,110104769,122378707,153606239,157493866
 "98000","Far West *",8,SAINC50,150,"...","  Motor vehicle licenses ","Thousands of dollars",21937,26260,35220,36772,38964,43698,55143,59145,65066,71898,76163,85957,88097,87457,83879,85669,86371,88272,192987,202398,207702,222940,241725,245074,257948,293989,314786,321328,342436,356698,383887,424453,467842,509726,611379,630114,645218,695082,841418,1023001,1112258,1139581,1247225,1369588,1385395,1323958,1328876,1423989,1351397,1445202,1524518,1577182,1659208,1620509,1714302,1892014,2155942,2334033,2467275,2532444,2598490,2741535,2822698,2993233,3241849,3307811,3415897,3537477,3628195,3932261,4349165,4354186,4364018,4663972,4699754
 "98000","Far West *",8,SAINC50,160,"...","  Other taxes 5/","Thousands of dollars",6958,8029,9601,12217,13767,14485,14004,14533,15073,15083,16264,17385,19784,20564,21213,22474,23812,25500,25332,26471,29529,32201,34387,36365,40943,41797,44576,51413,52196,54085,58723,67249,73299,80693,87475,92411,96984,107786,98235,113109,117705,130175,130772,131536,129316,136470,148036,143716,148261,157030,154502,157093,166880,172544,164356,161883,184636,185871,194664,207644,207859,209555,227934,250413,320064,345012,356578,365590,337143,316900,351595,318841,345867,1524861,2301320
 "98000","Far West *",8,SAINC50,180,"..."," Local governments ","Thousands of dollars",2754,2810,2907,2814,2686,3015,3573,6699,6410,7670,5987,13039,15205,13220,14548,24220,20500,20102,28468,28976,30115,36598,40075,44743,47760,48194,75577,89512,110788,117542,144207,150135,175591,203893,212942,225559,254517,263382,217977,230302,278500,306706,324064,339311,361861,395697,451215,467108,512963,551051,614199,625827,660776,668568,670798,858717,1248093,1468127,1349222,1325343,1216156,924894,1050620,1106497,1171888,1258751,1322624,1409755,1503654,1518999,1546574,1556432,1649733,1713294,1763107
 "98000","Far West *",8,SAINC50,190,"...","  Income taxes ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91312,154882,95119,59322,17176,6575,2123,953,680,0,0,0,0,0,0,0,0,0,0,0
 "98000","Far West *",8,SAINC50,200,"...","  Motor vehicle licenses ","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),5372,4835,5077,7010,7121,6962,8054,8501,8757,13354,12680,12585,12578,12987,13683,12206,14043,16111,17192,21941,25051,26900,30250,31285,30302,37971,71475,78591,81997,89125,91442,96157,73137,52760,58479,61192,69290,77633,82438,94445,95928,106729,133947,130124,151535,157569,165329,190963,200594,205465,208117,229297,233346,238098
 "98000","Far West *",8,SAINC50,210,"...","  Other taxes ","Thousands of dollars",2754,2810,2907,2814,2686,3015,3573,6699,6410,7670,5987,13039,15205,13220,14548,24220,20500,20102,28468,28976,30115,31226,35240,39666,40750,41073,68615,81458,102287,108785,130853,137455,163006,191315,199955,211876,242311,249339,201866,213110,256559,281655,297164,309061,330576,365395,413244,395633,434372,469054,525074,534385,564619,595431,618038,708926,1032019,1303718,1212267,1225729,1115136,826843,942938,971870,1041764,1107216,1165055,1244426,1312691,1318405,1341109,1348315,1420436,1479948,1525009
 "98000","Far West *",8,SAINC50,230,"..."," State and local personal property taxes ","Thousands of dollars",27092,30242,32532,35115,38123,41135,43858,45291,43285,40276,43600,73002,82434,91407,125082,148668,168387,194325,213391,243259,277466,274564,282176,295727,306771,298613,284512,296752,297735,289803,342731,372135,400103,411966,544608,570606,712097,744773,838945,918357,943587,1046366,1143487,1294040,1517995,1452107,1534946,1478011,1608899,1637690,1763575,1756711,1546633,1551468,1174032,1450625,1417114,1488174,1476493,1556932,1665544,2380984,2555348,2203751,2048517,2085087,2114324,2211083,2304824,2404045,2523372,2645832,2747668,2856028,3027317
"Note: See the included footnote file."
"SAINC50: Personal current taxes "
"Last updated: September 29, 2023-- new statistics for 2022; revised statistics for 1979-2021."
"U.S. Bureau of Economic Analysis"
