state,year,less_9th_grade,9_12th_grade,high_school,some_college_no_degree,associate,bachelor,graduate
Utah,2017,49768,93698,397812,466394,168267,375297,191854
Utah,2018,49534,93826,407324,464955,173766,391237,201423
Utah,2019,48701,92099,416545,469224,176978,410803,209702
Utah,2020,45753,85957,425180,476967,186545,429936,218134
Utah,2021,47665,84838,435611,482895,189992,450953,229906
Vermont,2012,13008,24740,134734,74319,37156,89459,58165
Vermont,2013,13023,24298,133370,74867,36977,91084,59782
Vermont,2014,12630,23725,133021,75982,36509,92347,60781
Vermont,2015,12537,23248,131270,76003,36581,94705,62313
Vermont,2016,12153,23287,130654,75531,37454,94823,63402
Vermont,2017,11232,22651,129511,76013,37351,95590,65552
Vermont,2018,10187,22520,128172,77197,37513,97034,67072
Vermont,2019,9874,22402,126832,75351,38518,99016,68467
Vermont,2020,8653,20104,124892,74019,39093,103940,71388
Vermont,2021,8269,19646,127128,74766,38964,110000,75690
Virginia,2012,283428,415628,1352347,1080148,367443,1085567,772010
Virginia,2013,275873,405313,1365578,1091965,378176,1113869,797164
Virginia,2014,271946,394451,1375722,1100887,390547,1140878,826694
Virginia,2015,265432,383502,1381751,1109861,403610,1167357,854860
Virginia,2016,261221,377441,1378019,1117077,413611,1191485,882156
Virginia,2017,254900,369037,1378738,1117556,427037,1220919,912578
Virginia,2018,248375,364445,1381080,1112619,436970,1244489,942374
Virginia,2019,236292,359056,1383769,1108670,448739,1272608,967752
Virginia,2020,226926,336675,1392823,1111802,459233,1304079,1000411
Virginia,2021,217549,322050,1402487,1102111,465927,1338831,1033566
Washington,2012,183748,267656,1063518,1142462,426976,910457,512652
Washington,2013,185370,271071,1077511,1147528,435658,932008,525994
Washington,2014,188969,267336,1084143,1155397,449245,956333,544381
Washington,2015,189580,262011,1097839,1159463,460415,986653,565477
Washington,2016,189027,263469,1101156,1168713,469700,1022117,590042
Washington,2017,188200,260358,1101904,1174696,483549,1064440,622908
Washington,2018,187130,257591,1109016,1183496,501449,1104621,658640
Washington,2019,186275,256174,1122330,1189880,509353,1144545,693067
Washington,2020,181372,250031,1133689,1201507,525934,1183949,723289
Washington,2021,183397,243104,1150293,1196854,536996,1217575,750433
West Virginia,2012,80060,134526,528874,238457,78939,142236,89182
West Virginia,2013,76429,132649,528247,239787,81983,146020,91477
West Virginia,2014,71979,130192,531305,238733,82939,150406,93060
West Virginia,2015,68050,127304,528555,239978,85558,152377,96296
West Virginia,2016,64047,126101,524971,240404,87889,153834,99872
West Virginia,2017,60839,121235,524710,239718,89742,155423,101998
West Virginia,2018,57449,116781,523536,240593,91975,158032,103718
West Virginia,2019,55033,113591,519091,239826,94488,159196,106202
West Virginia,2020,52129,106902,513143,240530,97740,163598,109827
West Virginia,2021,48779,103802,512232,236705,98115,165975,112306
Wisconsin,2012,131681,242454,1258948,808111,355884,663920,339293
Wisconsin,2013,128163,238713,1256845,809942,367424,679310,347418
Wisconsin,2014,124399,231790,1247009,811610,380330,697041,358816
Wisconsin,2015,120970,226458,1239523,817990,390482,713858,363838
Wisconsin,2016,115960,220136,1233220,816540,401314,729499,374583
Wisconsin,2017,110095,213704,1222791,814870,411875,748413,386068
Wisconsin,2018,108427,208747,1216570,814428,422227,762210,398280
Wisconsin,2019,105122,203094,1211981,814749,429430,780824,410505
Wisconsin,2020,100347,194860,1205321,817098,437945,806518,420029
Wisconsin,2021,97350,187925,1209751,814827,449533,833670,434629
Wyoming,2012,8661,20726,113353,101199,37126,60011,30020
Wyoming,2013,8032,20769,112845,103766,38209,62047,30861
Wyoming,2014,8031,21335,112082,104321,39588,64017,31724
Wyoming,2015,7693,21873,112872,103479,39555,65787,33013
Wyoming,2016,7370,22081,112932,102613,41392,66753,33921
Wyoming,2017,7166,20964,111594,102720,42219,67798,36156
Wyoming,2018,7402,20242,111899,102236,42835,67697,36980
Wyoming,2019,7025,19663,113535,99677,43761,68269,38586
Wyoming,2020,7050,18151,112183,99792,44944,69396,41303
Wyoming,2021,7049,17384,110950,98346,45150,69809,41474
