state,year,less_9th_grade,9_12th_grade,high_school,some_college_no_degree,associate,bachelor,graduate
Connecticut,2015,105725,144132,673973,430129,183289,516001,409606
Connecticut,2016,103279,139653,673220,427232,184426,524370,413949
Connecticut,2017,104623,137877,673582,422535,188481,532055,421144
Connecticut,2018,101068,134758,670519,416267,190869,538924,426303
Connecticut,2019,99837,132826,666828,416175,191964,541380,434085
Connecticut,2020,99436,126114,655381,419238,193036,551459,444541
Connecticut,2021,101461,123560,656949,418214,194987,561567,458399
Delaware,2012,24933,49416,190866,122507,43525,103120,68964
Delaware,2013,25620,49343,193877,121907,44444,105108,71429
Delaware,2014,25167,49100,195806,122450,45599,108647,74117
Delaware,2015,24965,48408,196236,124543,47604,112141,77221
Delaware,2016,24114,47632,199461,124796,49591,115770,79551
Delaware,2017,23416,46228,203135,125964,51028,117478,84291
Delaware,2018,22874,44608,208557,125186,51522,120794,86438
Delaware,2019,23675,43141,209449,126281,52636,124632,89506
Delaware,2020,22233,41610,210998,128397,54589,129092,92951
Delaware,2021,22250,39538,209928,129676,56852,134252,98122
District of Columbia,2012,20075,31961,79574,59867,12206,93963,119786
District of Columbia,2013,18894,30899,80963,61310,12958,97641,127642
District of Columbia,2014,19168,29931,82531,60863,13854,103179,133195
District of Columbia,2015,19376,29054,81697,62033,14040,105880,141872
District of Columbia,2016,18612,27898,83367,62308,14496,108252,148064
District of Columbia,2017,18889,27608,84119,62203,14601,113830,156593
District of Columbia,2018,18986,26819,83572,62618,14637,118817,161532
District of Columbia,2019,18258,26592,83185,62030,14792,122380,166879
District of Columbia,2020,16741,24070,83347,63270,14583,126808,173167
District of Columbia,2021,15816,22118,75562,60253,14508,124285,175184
Florida,2012,737861,1123105,3915878,2771371,1144238,2207281,1227890
Florida,2013,739623,1109845,3964227,2799815,1188081,2253937,1261975
Florida,2014,737479,1099577,4024052,2828529,1242532,2324792,1304635
Florida,2015,737057,1077209,4074252,2858695,1296844,2418555,1361593
Florida,2016,735841,1071545,4111029,2897250,1348226,2514297,1415499
Florida,2017,733714,1053634,4170468,2937324,1405068,2616384,1479474
Florida,2018,723824,1045665,4231678,2963473,1438630,2721635,1561822
Florida,2019,718909,1048674,4276237,2981480,1468744,2827938,1643763
Florida,2020,701815,1049983,4308542,3013331,1521709,2938593,1721353
Florida,2021,676463,1006042,4282929,2999289,1544611,3038293,1801663
Georgia,2012,363297,608994,1805733,1309587,421726,1105741,627430
Georgia,2013,363832,601126,1817352,1333987,438989,1121880,645954
Georgia,2014,359406,599954,1832086,1352540,451537,1148710,666183
Georgia,2015,353119,595578,1845924,1366635,465465,1178186,695298
Georgia,2016,344716,588094,1850601,1383193,484768,1208700,729390
Georgia,2017,336288,583369,1877212,1390995,502431,1241995,761536
