,Geography,Geographic Area Name,Total population,Male,Female,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,Median age (years),18 years and over,21 years and over,65 years and over,One race,Two or more races,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race,Hispanic or Latino (of any race),Not Hispanic or Latino,Total housing units_x,YEAR,Total households,Households with one or more people under 18 years,Households with one or more people 65 years and over,Average household size,Males 15 years and over,"Never married, Males 15 years and over","Now married, except separated, Males 15 years and over","Separated, Males 15 years and over","Widowed, Males 15 years and over","Divorced, Males 15 years and over",Females 15 years and over,"Never married, Females 15 years and over","Now married, except separated, Females 15 years and over","Separated, Females 15 years and over","Widowed, Females 15 years and over","Divorced, Females 15 years and over",Population 3 years and over enrolled in school,Population 25 years and over,Less than 9th grade,"9th to 12th grade, no diploma",High school graduate (includes equivalency),"Some college, no degree",Associate's degree,Bachelor's degree,Graduate or professional degree,Native,Foreign born,Language other than English,Population 16 years and over,In labor force,Civilian labor force,Employed,Unemployed,Armed Forces,Not in labor force,Civilian employed population 16 years and over,"Management, business, science, and arts occupations",Service occupations,Sales and office occupations,"Natural resources, construction, and maintenance occupations","Production, transportation, and material moving occupations",Median family income (dollars),Mean family income (dollars),Per capita income (dollars),Civilian noninstitutionalized population,With health insurance coverage,With private health insurance,With public coverage,No health insurance coverage,Total housing units_y,Occupied housing units,Vacant housing units,Homeowner vacancy rate,Rental vacancy rate,Median rooms,"Median (dollars), Value",Owner-occupied units,Housing units with a mortgage,Housing units without a mortgage,"Median (dollars), Rent",No rent paid
282,0400000US32,Nevada,2730066,1377138,1352928,183538,186314,181054,178694,183507,389913,381827,376546,168454,155157,211680,99458,33924,36.6,2067996,1963876,345062,2621791,108275,2036644,258381,52327,249732,34230,218812,734097,1995969,1177751,2014,1005958,330977,254494,2.71,1109661,395057,520487,22334,27912,143871,1102036,313342,505833,31131,87535,164195,684277,1847920,113555,166385,529441,481419,140692,274707,141721,2234549,527035,766781,2175721,1415924,1406781,1240614,166167,9143,759797,1240614,344652,345082,322193,107643,121044,61081,78301,26515,2726356,2172464,1724533,713798,553892,1185232,1005958,179274,2.9,10.2,5.2,167100,559911,403128,156783,980,14452
283,0400000US32,Nevada,2839172,1426322,1412850,180440,188922,184398,175865,187422,407455,383267,384349,181631,164568,249640,113808,37407,37.5,2174540,2072361,400855,2710136,129036,2036906,286350,57287,280498,37102,284299,790497,2048675,1200517,2015,1016709,328062,265684,2.72,1126164,405554,523489,22716,27772,146633,1121503,323064,508690,31107,89344,169298,687278,1884237,116829,164068,532115,489887,147840,285510,147988,2261384,537252,786921,2210559,1424596,1415779,1267312,148467,8817,785963,1267312,351244,352011,329553,110252,124252,60916,78418,26541,2763700,2258127,1753840,778071,505573,1192083,1016709,175374,2.5,9.7,5.2,173700,559793,393847,165946,973,14728
284,0400000US32,Nevada,2798636,1407735,1390901,178808,189658,182503,175750,187680,400539,382127,381662,177346,161857,235919,108571,36216,37.2,2137056,2034611,380706,2675701,122935,2028300,275460,55498,271325,36054,267951,770553,2028083,1192083,2016,1030701,326601,279170,2.72,1143334,416530,526579,22043,28959,149223,1142078,331009,513645,31219,92334,173871,689934,1922125,117204,163036,544288,499865,152171,293579,151982,2291476,547696,805039,2248477,1443621,1435687,1302162,133525,7934,804856,1302162,365010,355536,338112,112738,130766,62528,80671,27253,2804116,2350721,1792015,839929,453395,1200517,1030701,169816,2.2,9.1,5.2,191600,564787,391607,173180,984,14296
285,0400000US32,Nevada,2922849,1467165,1455684,182311,188965,190632,177213,182278,424495,389966,388646,186207,174085,273123,125259,39669,37.9,2248373,2146801,438051,2782350,140499,2048871,309359,62595,296156,39768,323167,831597,2091252,1235096,2017,1052249,329681,292226,2.71,1165154,425940,537420,22478,30220,149096,1164428,338591,526092,31236,93922,174587,693218,1968023,116412,162406,556851,506805,159428,306611,159510,2325981,561744,824689,2292486,1465320,1457643,1341358,116285,7677,827166,1341358,381372,362349,343474,116784,137379,65469,84382,28450,2852693,2454719,1844304,901573,397974,1220422,1052249,168173,2.2,8.4,5.2,216400,582614,401119,181495,1017,13608
286,0400000US32,Nevada,2887725,1450091,1437634,181207,190112,186824,176996,184563,418525,387707,387736,184727,168998,262946,118088,39296,37.7,2217723,2116358,420330,2753390,134335,2044700,297610,59246,292230,38997,304766,814305,2073420,1220422,2018,1075930,331289,305130,2.68,1180260,434924,541966,21860,30196,151314,1180681,345600,531265,29011,94447,180358,695651,2001450,113903,160260,563229,515011,163699,317510,167838,2356449,566400,833036,2322826,1480282,1472351,1370603,101748,7931,842544,1370603,398596,360907,330455,120118,160527,68700,88777,29961,2887475,2543371,1884408,962484,344104,1235096,1075930,159166,2.1,8.0,5.2,242400,600520,409424,191096,1060,13350
287,0400000US32,Nevada,2972382,1491294,1481088,183534,188742,195176,178691,181544,433665,395431,390766,190069,177583,283634,133009,40538,38.0,2291340,2188858,457181,2825974,146408,2069155,322756,65762,305500,40403,332586,853041,2119341,1250893,2019,1098602,335663,320145,2.67,1201684,442597,554132,22029,31300,151626,1203246,350879,542348,29445,96931,183643,699523,2044695,112207,159925,574254,521900,170718,330222,175469,2395653,576729,848177,2366398,1507387,1498994,1406568,92426,8393,859011,1406568,416281,365615,327819,126907,169946,71916,93624,31557,2936475,2609462,1919628,999232,327013,1250893,1098602,152291,2.0,7.9,5.2,267900,618605,420431,198174,1107,13373
288,0400000US32,Nevada,3030281,1520196,1510085,184141,188497,200113,181129,182581,443752,403095,393735,196759,178459,295029,137638,45353,38.2,2342768,2238431,478020,2801800,228481,2080484,337681,67377,320596,43543,430140,875798,2154483,1268533,2020,1130011,344172,336912,2.65,1227637,454183,568477,21334,31191,152452,1229893,361151,555146,29424,96807,187365,697235,2093820,111954,162045,584698,525967,176159,348505,184492,2442473,587808,858260,2419552,1534671,1525262,1425040,100222,9409,884881,1425040,439862,358194,326953,128606,171425,74077,96532,32629,2993632,2659502,1948791,1030710,334130,1268533,1130011,138522,1.7,7.2,5.2,290200,644864,435158,209706,1159,13737
289,0400000US32,Nevada,3059238,1541789,1517449,181429,190962,204174,185258,180697,442799,413310,396434,198224,183544,301849,136718,43840,38.3,2365208,2259599,482407,2743982,315256,2081369,350048,75179,329669,45785,519881,897415,2161823,1269846,2021,1141952,346803,343111,2.65,1246914,465071,576783,20574,32233,152253,1235759,371176,556868,28590,94678,184447,701445,2116718,113023,161737,587588,521376,181391,359703,191900,2472387,586851,859193,2443108,1549597,1538959,1429447,109512,10638,893511,1429447,452720,349675,320796,131231,175025,78456,102444,34621,3022441,2681547,1956012,1047799,340894,1269846,1141952,127894,1.4,6.9,5.2,315900,659671,445071,214600,1238,14070
290,0400000US33,New Hampshire,1317474,650048,667426,69372,76853,84857,94710,84344,145270,179209,223407,96640,82309,98760,57678,24065,41.1,1031739,970448,180503,1296827,20647,1260750,21525,10541,35102,890,10831,37355,1280119,613995,2012,516845,160941,126310,2.47,531622,164324,292678,5566,12883,56171,554770,140878,287945,7286,47763,70898,330248,907338,25059,52584,265671,173637,87017,191995,111375,1247849,69625,98494,1068648,745330,743662,694736,48926,1668,323318,694736,272742,108775,172999,62554,77666,79488,95859,32758,1302651,1166489,1005772,317645,136162,613995,516845,97150,1.6,5.6,5.6,245600,372021,261039,110982,972,6640
291,0400000US33,New Hampshire,1321069,651809,669260,66576,75728,80599,92670,86463,149321,167647,218547,101291,88343,109886,58656,25342,41.8,1045343,985291,193884,1296991,24078,1261922,24549,10958,37715,1253,10691,40301,1280768,617286,2013,518245,157616,130501,2.47,534835,167249,292288,5690,12847,56761,557240,143043,286223,8012,47583,72379,327063,913191,24802,49712,267913,175214,87979,194439,113132,1247613,71558,100078,1074477,743855,742439,690769,51670,1416,330622,690769,271736,109023,171166,61636,77208,79886,96947,33134,1304372,1167354,996340,329423,137018,615204,518245,96959,1.5,5.4,5.5,239900,370173,256665,113508,987,6673
