GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "37000","North Carolina",5,SARPP,1,"...","RPPs: All items ","Index",92.970,91.782,93.432,93.992,93.764,94.220,94.256,93.925,94.318,93.158,92.837,91.907,91.445,93.805
 "38000","North Dakota",4,SARPP,1,"...","RPPs: All items ","Index",86.837,89.394,90.909,90.447,93.810,93.122,93.455,92.781,91.657,88.588,91.225,93.366,92.246,91.103
 "39000","Ohio",3,SARPP,1,"...","RPPs: All items ","Index",92.513,93.451,93.420,92.402,93.150,93.256,93.188,92.396,92.618,91.938,92.954,93.280,92.102,92.459
 "40000","Oklahoma",6,SARPP,1,"...","RPPs: All items ","Index",90.868,89.898,91.599,92.083,92.261,92.416,92.582,92.065,92.118,90.872,89.810,89.573,89.829,90.269
 "41000","Oregon",8,SARPP,1,"...","RPPs: All items ","Index",97.600,99.886,98.824,99.362,100.435,99.767,98.954,100.191,99.192,101.484,104.616,103.924,103.427,103.032
 "42000","Pennsylvania",2,SARPP,1,"...","RPPs: All items ","Index",99.061,99.297,99.007,98.417,98.118,97.858,97.317,98.282,97.817,99.097,98.152,98.078,97.783,96.371
 "44000","Rhode Island",1,SARPP,1,"...","RPPs: All items ","Index",102.040,102.665,100.735,100.370,99.203,100.981,99.401,100.893,100.728,102.485,102.254,102.408,101.954,102.083
 "45000","South Carolina",5,SARPP,1,"...","RPPs: All items ","Index",92.693,91.771,93.357,93.928,93.414,93.829,93.546,93.740,94.421,92.892,92.221,91.572,91.035,93.693
 "46000","South Dakota",4,SARPP,1,"...","RPPs: All items ","Index",85.981,87.233,88.755,87.964,91.182,90.175,90.490,89.181,89.262,87.555,91.395,91.863,90.721,90.147
 "47000","Tennessee",5,SARPP,1,"...","RPPs: All items ","Index",92.050,90.837,92.804,93.355,93.843,93.551,93.185,93.131,94.288,93.105,89.579,91.214,90.541,90.854
 "48000","Texas",6,SARPP,1,"...","RPPs: All items ","Index",97.512,97.326,98.108,97.447,98.086,98.491,98.751,98.890,98.436,97.439,97.831,98.528,98.745,98.502
 "49000","Utah",7,SARPP,1,"...","RPPs: All items ","Index",97.400,100.007,97.633,99.629,99.301,98.563,97.733,97.647,96.631,98.770,95.826,97.125,95.185,94.592
 "50000","Vermont",1,SARPP,1,"...","RPPs: All items ","Index",101.024,100.767,99.171,98.701,99.373,99.891,98.307,100.081,99.491,100.273,100.300,99.456,102.073,98.660
 "51000","Virginia",5,SARPP,1,"...","RPPs: All items ","Index",103.274,102.571,103.968,103.488,102.640,103.629,103.616,103.761,103.022,101.457,102.096,100.152,101.100,102.278
 "53000","Washington",8,SARPP,1,"...","RPPs: All items ","Index",103.975,104.498,102.108,102.739,102.442,102.107,103.313,103.411,104.816,107.452,107.175,108.036,107.899,108.885
 "54000","West Virginia",5,SARPP,1,"...","RPPs: All items ","Index",88.145,86.940,89.319,89.445,89.157,89.971,90.333,91.005,90.482,88.827,89.207,88.323,87.365,90.763
 "55000","Wisconsin",3,SARPP,1,"...","RPPs: All items ","Index",93.336,94.102,94.644,93.898,94.206,94.018,94.203,93.502,93.577,93.532,93.973,94.492,92.657,93.347
 "56000","Wyoming",7,SARPP,1,"...","RPPs: All items ","Index",95.966,96.915,95.754,97.469,97.147,96.718,97.795,97.863,97.741,97.049,92.195,93.823,91.402,91.418
 "00000","United States", ,SARPP,2,"..."," RPPs: Goods ","Index",99.577,99.541,99.620,99.608,99.622,99.629,99.652,99.650,99.649,99.645,99.621,99.651,99.663,99.642
 "01000","Alabama",5,SARPP,2,"..."," RPPs: Goods ","Index",96.050,94.076,96.391,95.942,95.197,96.224,96.225,95.168,96.014,95.571,92.239,94.409,94.271,94.124
 "02000","Alaska",8,SARPP,2,"..."," RPPs: Goods ","Index",106.009,105.817,104.185,103.649,101.652,100.261,100.002,104.571,107.471,107.915,103.027,100.097,101.222,108.607
 "04000","Arizona",6,SARPP,2,"..."," RPPs: Goods ","Index",103.039,106.500,100.182,99.031,98.310,97.603,97.817,98.574,98.031,97.384,96.284,95.996,100.150,95.340
 "05000","Arkansas",5,SARPP,2,"..."," RPPs: Goods ","Index",96.026,93.865,96.625,96.001,94.451,95.411,94.754,93.962,94.922,94.615,92.944,94.778,94.183,95.732
 "06000","California",8,SARPP,2,"..."," RPPs: Goods ","Index",107.484,104.763,103.107,103.656,104.136,104.316,104.412,105.639,104.468,104.307,105.400,106.012,106.517,107.993
 "08000","Colorado",7,SARPP,2,"..."," RPPs: Goods ","Index",104.546,102.213,101.417,101.719,101.452,101.124,100.314,99.959,99.915,99.677,97.335,101.302,101.361,101.803
 "09000","Connecticut",1,SARPP,2,"..."," RPPs: Goods ","Index",109.436,108.646,103.697,103.839,104.653,104.306,103.446,103.181,103.694,104.449,101.732,98.521,99.064,96.975
 "10000","Delaware",2,SARPP,2,"..."," RPPs: Goods ","Index",103.573,102.028,101.606,102.579,99.506,97.214,95.728,97.215,98.606,96.306,96.611,95.527,94.150,94.503
 "11000","District of Columbia",2,SARPP,2,"..."," RPPs: Goods ","Index",112.274,112.870,109.595,107.930,105.908,110.902,105.634,105.582,106.221,104.852,107.153,104.896,105.563,107.934
 "12000","Florida",5,SARPP,2,"..."," RPPs: Goods ","Index",98.973,97.074,97.269,97.350,98.007,98.602,98.310,97.377,97.523,98.524,97.992,96.333,97.625,98.311
 "13000","Georgia",5,SARPP,2,"..."," RPPs: Goods ","Index",94.497,95.971,96.527,96.800,97.201,97.864,97.192,96.847,97.132,97.150,97.726,96.540,96.302,96.612
 "15000","Hawaii",8,SARPP,2,"..."," RPPs: Goods ","Index",106.840,108.968,108.691,108.570,106.303,109.060,109.091,110.779,112.134,112.382,116.212,115.164,112.220,110.595
 "16000","Idaho",7,SARPP,2,"..."," RPPs: Goods ","Index",99.303,100.679,99.171,99.734,98.210,96.359,97.254,100.506,99.656,101.167,96.066,98.784,95.094,96.782
 "17000","Illinois",3,SARPP,2,"..."," RPPs: Goods ","Index",99.434,101.771,102.272,102.754,101.175,99.988,100.547,98.775,98.273,100.187,101.772,103.119,101.946,103.981
 "18000","Indiana",3,SARPP,2,"..."," RPPs: Goods ","Index",92.909,94.784,96.588,96.578,97.554,97.278,98.401,97.825,97.151,96.178,98.073,96.855,95.520,96.225
 "19000","Iowa",4,SARPP,2,"..."," RPPs: Goods ","Index",86.902,91.231,95.525,95.539,96.445,95.960,97.031,97.043,96.006,95.100,95.875,97.415,95.536,94.145
 "20000","Kansas",4,SARPP,2,"..."," RPPs: Goods ","Index",88.767,93.754,95.595,95.960,97.017,96.345,97.088,97.463,96.584,96.041,94.976,97.281,95.723,93.963
