state,year,in_lf,employed,unemployed,not_in_lf,Man_bus_sci_arts,service,sales_office,construction,prod_tran_mov,median_f_income,mean_f_income,per_cp_income,pop_hea_ins,pop_hea_ins_pri,pop_hea_ins_pub,pop_no_hea_ins
Michigan,2013,4864014,4242948,616469,3001336,1460410,788907,1039814,330930,622887,60793,77082,25681,8642226,6773036,3255581,1130793
Michigan,2014,4852108,4293574,554747,3041863,1490512,789547,1033226,332116,648173,61684,78408,26143,8711274,6777946,3340481,1065883
Michigan,2015,4855005,4373518,477746,3070983,1525263,796215,1037272,339141,675627,62247,79572,26607,8845904,6834279,3437050,943241
Michigan,2016,4866369,4449717,412934,3087212,1561940,804879,1042094,347980,692824,63958,82348,27549,8974782,6893632,3531837,823602
Michigan,2017,4890342,4524874,361624,3095566,1612577,803485,1039958,356023,712831,66653,86137,28938,9111760,6966211,3620082,702954
Michigan,2018,4923316,4598487,321008,3104633,1659703,815617,981395,363017,778755,69691,90116,30336,9250420,7026257,3721479,597044
Michigan,2019,4953003,4654930,293894,3096766,1705832,820083,973858,369098,786059,72600,93955,31713,9313111,7039992,3784591,542855
Michigan,2020,4961054,4658357,298142,3109565,1752147,805030,962900,366692,771588,75470,97175,32854,9337676,7057536,3815034,528400
Michigan,2021,5007906,4692409,310551,3128587,1797451,792398,951754,369631,781175,80365,103151,34768,9430038,7094563,3872426,529451
Minnesota,2012,2955309,2745021,207462,1224778,1056181,448956,663263,224300,352321,74032,91321,30656,4799301,4053907,1389463,454463
Minnesota,2013,2961476,2748174,210815,1251261,1065725,456407,654658,219039,352345,74683,92087,30913,4836178,4045557,1438041,452715
Minnesota,2014,2976014,2781933,192010,1271685,1089675,462796,652184,219519,357759,76190,94560,31642,4904424,4064182,1498456,420827
Minnesota,2015,2996985,2827195,167764,1284156,1115444,468669,652861,223680,366541,77055,96258,32157,4983791,4089759,1565919,377070
Minnesota,2016,3012522,2864441,145853,1299114,1140462,470199,655816,228028,369936,79595,99626,33225,5064015,4130467,1631718,328556
Minnesota,2017,3036696,2904103,130510,1310717,1165110,478548,655065,231994,373386,82785,104103,34712,5138406,4159190,1694035,294386
Minnesota,2018,3053005,2931458,119218,1326003,1194621,477398,621782,234661,402996,86204,109028,36245,5214625,4186967,1764038,254764
Minnesota,2019,3072244,2958615,111115,1338332,1220432,478328,615859,236977,407019,89842,113077,37625,5259270,4203234,1805106,246184
Minnesota,2020,3078339,2957615,117117,1366217,1248858,465932,602723,237260,402842,92692,116714,38881,5289521,4229748,1827544,251900
Minnesota,2021,3109813,2980477,125307,1386139,1283422,463728,591110,236538,405679,98356,123870,41204,5356476,4266671,1863188,258292
Mississippi,2012,1361499,1204869,143126,939368,370863,212283,287012,141212,193499,48300,63148,20670,2392262,1667737,1035758,506225
Mississippi,2013,1355687,1194436,149148,957272,368427,213619,284515,135719,192156,48471,63155,20618,2401348,1651617,1058555,507514
Mississippi,2014,1356974,1198828,147210,966249,373184,214860,284324,135042,191418,49125,64194,20956,2426786,1662021,1076952,489849
Mississippi,2015,1352993,1203914,138445,980161,374592,214247,284199,133580,197296,49274,64296,21057,2459002,1677619,1097812,462187
Mississippi,2016,1351797,1212650,128840,986953,377812,218929,284556,132138,199215,50592,66185,21651,2496059,1702115,1117993,427828
Mississippi,2017,1349864,1221828,117786,991575,384944,218476,283884,132314,202210,52689,68673,22500,2522981,1725468,1124046,398647
Mississippi,2018,1349340,1228537,110036,1000951,392309,220474,264557,131077,220120,54933,71577,23434,2552290,1747793,1134482,370357
Mississippi,2019,1346678,1235224,99733,1007423,398174,222735,260763,129689,223863,57008,74380,24369,2558306,1749300,1138913,358580
Mississippi,2020,1351695,1243095,95379,1005331,411751,221167,258813,128998,222366,58923,77072,25444,2562055,1766112,1135618,350002
Mississippi,2021,1345038,1240790,91177,999379,420798,214602,256752,126257,222381,62802,81636,26807,2551338,1754929,1131529,350775
Missouri,2012,3062560,2781791,259574,1667081,954089,491187,703229,257401,375885,59395,75484,25546,5100832,4089947,1714971,766671
Missouri,2013,3059214,2770617,267644,1696656,956605,498458,696630,247212,371712,59527,75926,25649,5115811,4066792,1749310,776915
Missouri,2014,3054519,2779991,254534,1727334,971506,503063,695968,242466,366988,60414,77368,26006,5152829,4070511,1774209,761852
Missouri,2015,3053938,2807996,226528,1749738,987920,506610,693967,246927,372572,60809,77951,26259,5205916,4097395,1803877,726533
Missouri,2016,3055025,2835183,200143,1768198,1002977,504806,697689,248099,381612,62285,80299,27044,5272765,4142647,1831875,673329
Missouri,2017,3062657,2867393,175919,1781848,1029318,505488,694925,250987,386675,64776,83724,28282,5339971,4196872,1850875,621543
Missouri,2018,3062496,2888094,155958,1801569,1053667,501463,656813,254642,421509,67612,87430,29537,5395736,4226236,1883050,581002
Missouri,2019,3074639,2916000,139789,1807094,1077985,503637,646716,256836,430826,70398,91107,30810,5430752,4243951,1908817,559885
Missouri,2020,3090253,2932918,138673,1813325,1110798,492834,641841,256729,430716,72834,93919,31839,5446869,4249202,1919977,565099
Missouri,2021,3104195,2945966,138820,1806582,1144175,480298,631894,254619,434980,77976,100355,33770,5460824,4245920,1931451,575152
Montana,2012,517348,478254,35541,277037,167489,90633,113548,59967,46617,58951,71880,25002,805236,653765,278989,169971
Montana,2013,518296,477015,37702,282903,167555,91789,112680,59096,45895,59743,73302,25373,812164,649707,290839,170829
Montana,2014,519814,481119,35284,288103,170625,92344,111218,60405,46527,60581,75070,25977,825666,652215,303618,165335
Montana,2015,521330,485446,32361,293331,174485,92836,110210,61922,45993,61271,76701,26381,843946,662087,315305,155267
Montana,2016,523599,490742,29382,298931,178614,93728,109528,62280,46592,63214,79987,27309,869709,673175,333148,138237
Montana,2017,526388,497995,25076,301810,181703,94399,111134,62437,48322,65843,83860,28706,896130,688360,348220,118466
Montana,2018,532854,507249,22433,305954,186543,96615,106780,63152,54159,68139,86881,29765,921676,697398,369276,104910
Montana,2019,536872,512329,21513,310408,191153,97205,106577,62265,55129,71079,90757,31151,942477,701702,390256,93166
Montana,2020,545629,520043,22541,313556,194908,97756,108873,61113,57393,72773,94034,32463,958813,699509,415029,87857
Montana,2021,552144,526641,22303,320455,200988,97543,107724,62489,57897,77152,99765,34423,972622,702765,426804,90973
Nebraska,2012,1008534,946986,55912,411043,329845,157811,234266,96132,128932,64820,79249,26523,1593137,1346351,465281,204804
Nebraska,2013,1011281,948701,57525,420147,333619,157967,233074,95442,128599,65328,80519,26899,1605360,1346069,477179,207593
Nebraska,2014,1016841,957508,54785,425851,339029,160654,232773,96209,128843,66188,81503,27339,1625947,1356642,488156,201560
Nebraska,2015,1020419,968134,47602,433738,345011,161784,232498,98766,130075,67225,83230,27882,1651833,1376009,494459,189101
Nebraska,2016,1024737,977353,42544,439135,353576,163514,232070,97393,130800,69207,85571,28596,1673395,1392949,501192,179414
Nebraska,2017,1031005,987216,38881,443708,363062,161774,231366,98271,132743,72191,89487,29866,1696460,1412509,507070,168568
Nebraska,2018,1035610,993836,36545,447551,370034,163680,218233,98724,143165,75123,93333,31101,1717637,1426167,517405,157831
Nebraska,2019,1039498,999212,34535,452288,377852,163108,214828,100259,143165,78212,97347,32302,1731013,1433665,522871,153837
Nebraska,2020,1040763,999772,35114,460050,388055,159019,212022,98765,141911,80125,99693,33205,1740040,1435016,535075,154287
Nebraska,2021,1052366,1011989,34474,467049,396929,160031,210072,99686,145271,85162,106469,35189,1769471,1448945,552066,154395
Nevada,2012,1414374,1237659,166416,700932,342172,335591,323253,116781,119862,62789,79537,27003,2090571,1731155,619406,577628
Nevada,2013,1414220,1229604,175142,729321,341708,340399,317255,110377,119865,61359,78302,26589,2110960,1711928,657538,583791
Nevada,2014,1415924,1240614,166167,759797,344652,345082,322193,107643,121044,61081,78301,26515,2172464,1724533,713798,553892
Nevada,2015,1424596,1267312,148467,785963,351244,352011,329553,110252,124252,60916,78418,26541,2258127,1753840,778071,505573
Nevada,2016,1443621,1302162,133525,804856,365010,355536,338112,112738,130766,62528,80671,27253,2350721,1792015,839929,453395
Nevada,2017,1465320,1341358,116285,827166,381372,362349,343474,116784,137379,65469,84382,28450,2454719,1844304,901573,397974
Nevada,2018,1480282,1370603,101748,842544,398596,360907,330455,120118,160527,68700,88777,29961,2543371,1884408,962484,344104
Nevada,2019,1507387,1406568,92426,859011,416281,365615,327819,126907,169946,71916,93624,31557,2609462,1919628,999232,327013
Nevada,2020,1534671,1425040,100222,884881,439862,358194,326953,128606,171425,74077,96532,32629,2659502,1948791,1030710,334130
Nevada,2021,1549597,1429447,109512,893511,452720,349675,320796,131231,175025,78456,102444,34621,2681547,1956012,1047799,340894
New Hampshire,2012,745330,694736,48926,323318,272742,108775,172999,62554,77666,79488,95859,32758,1166489,1005772,317645,136162
New Hampshire,2013,743855,690769,51670,330622,271736,109023,171166,61636,77208,79886,96947,33134,1167354,996340,329423,137018
New Hampshire,2014,742731,693329,48029,338064,274354,109426,169716,63186,76647,80812,98683,33821,1172061,994734,336734,134254
New Hampshire,2015,742874,698810,42733,344638,278333,110105,169158,63134,78080,81726,100306,34362,1187005,998717,352442,122052
New Hampshire,2016,746203,706801,37727,348580,281559,113321,170402,62613,78906,83709,103069,35264,1200297,1002056,367674,110652
New Hampshire,2017,748779,713424,33566,353488,287692,113867,169930,62323,79612,86949,107500,36914,1216855,1010341,382041,98020
New Hampshire,2018,756239,724017,30392,358578,294175,116752,163856,61592,87642,91245,112822,38548,1239969,1019536,399632,86274
New Hampshire,2019,759081,729701,27430,362578,301013,117307,159145,62109,90127,95244,117422,40003,1252217,1020752,415056,79069
New Hampshire,2020,761007,730223,28479,369001,306308,116785,155896,63592,87642,97001,120331,41234,1258301,1025907,421762,80071
New Hampshire,2021,769793,738506,28947,374975,314716,114676,154949,65204,88961,104193,128164,43877,1276144,1038561,429162,80005
New Jersey,2012,4672338,4219677,443328,2312991,1692449,690708,1084164,314882,437474,87389,112730,35928,7589263,6321224,2193794,1093464
New Jersey,2013,4677666,4197483,472094,2351129,1693245,699730,1065523,305937,433048,87347,113394,36027,7603415,6255232,2264163,1119796
New Jersey,2014,4695156,4235089,453097,2385025,1722379,710670,1056127,306736,439177,87999,114618,36359,7667922,6235340,2349829,1098747
New Jersey,2015,4702508,4281760,413343,2417646,1751411,716343,1059562,308667,445777,88335,115568,36582,7773154,6251122,2446407,1023450
New Jersey,2016,4699613,4322619,368870,2444041,1782256,720932,1055423,310447,453561,90757,118771,37538,7868933,6278959,2537502,938966
New Jersey,2017,4724242,4388024,328167,2472973,1830109,727533,1056458,312951,460973,94337,123936,39069,7998102,6336083,2628552,856275
New Jersey,2018,4684112,4390602,285084,2458063,1860424,714830,999943,313388,502017,98047,129025,40895,8033794,6328839,2686456,743045
New Jersey,2019,4689849,4422491,258093,2458460,1905627,712040,981612,317509,505703,102260,134704,42745,8090314,6342042,2739911,683679
New Jersey,2020,4709106,4426619,271795,2452078,1954559,694946,959877,310057,507180,104804,138130,44153,8117243,6370543,2755536,662917
New Jersey,2021,4905036,4588902,304973,2531257,2070173,699743,970893,321846,526247,110115,146057,46691,8439671,6567194,2899550,689666
New Mexico,2012,979619,882461,88267,618304,309535,176470,210196,105222,81038,54221,70760,23749,1624065,1129173,721310,397034
New Mexico,2013,979565,876823,94111,633165,308827,179888,206359,102092,79657,54513,71019,23763,1644696,1120765,752706,390915
New Mexico,2014,977579,875947,93106,647576,311860,180054,203765,99875,80393,54801,71580,23948,1675918,1118954,789184,370133
New Mexico,2015,973891,876035,88924,659419,309877,182601,203580,99166,80811,55049,72050,24012,1713355,1116586,832436,336347
New Mexico,2016,966377,876210,81175,671217,310997,181579,204638,98047,80949,55900,73277,24459,1753906,1121190,875600,294187
New Mexico,2017,962123,879201,73710,681585,313896,182940,205160,96930,80275,57436,75588,25257,1793939,1121442,921057,256162
New Mexico,2018,960566,882735,68370,695203,317113,182977,198087,96941,87617,59175,78165,26085,1837116,1130017,963505,220410
New Mexico,2019,961999,888646,63458,699647,323919,183889,196068,96351,88419,61102,81023,27230,1859479,1130805,994103,197607
New Mexico,2020,962807,889193,62580,709222,335717,174854,193676,95937,89009,62611,82405,27945,1865643,1125395,1012852,194896
New Mexico,2021,964460,889428,63136,718108,343312,172982,187244,95549,90341,66533,87466,29624,1873156,1119568,1031711,200063
New York,2012,9969586,9073362,869729,5645536,3480143,1799234,2239502,680700,873783,69968,96853,32104,16976458,12827926,6271134,2161817
New York,2013,10009187,9062757,921607,5708096,3508106,1816425,2207145,669818,861263,70670,97941,32382,17087639,12719007,6474570,2143603
New York,2014,10054448,9137540,893092,5778295,3553854,1850031,2194062,669274,870319,71419,99640,32829,17290103,12703988,6697058,2052554
New York,2015,10107278,9254578,829141,5814659,3627956,1879463,2198961,673298,874900,71913,100948,33236,17550259,12753304,6932536,1877051
New York,2016,10123078,9340878,759224,5841872,3703893,1886907,2197680,673905,878493,74036,104233,34212,17785491,12842299,7134416,1668092
New York,2017,10176202,9467631,685368,5904779,3803745,1905936,2194508,682459,880983,77141,109230,35752,18074610,12972574,7361335,1481650
New York,2018,10070138,9445023,602636,5881859,3850124,1893645,2068342,677181,955731,80419,114090,37470,18123450,12950832,7478376,1255168
New York,2019,10069219,9498320,547509,5867025,3937580,1900360,2032222,677985,950173,84385,119540,39326,18216740,12994267,7573943,1117159
New York,2020,10032721,9438639,570570,5876219,4025303,1847343,1977471,663047,925475,87270,123221,40898,18239538,13031045,7600094,1037271
New York,2021,10331727,9663517,642913,6051700,4204721,1867332,1974527,671791,945146,92731,131094,43208,18818637,13338844,7934628,1059370
North Carolina,2012,4832418,4246096,497589,2691252,1497593,728109,1017315,430804,572275,57146,74684,25285,7829667,6065117,2828515,1511700
North Carolina,2013,4850140,4234977,527430,2772090,1513080,744260,1010505,406778,560354,56928,74863,25284,7920992,6053781,2942268,1529230
North Carolina,2014,4879118,4287690,505668,2838512,1541258,758433,1016981,403182,567836,57328,75892,25608,8072475,6131516,3039062,1479285
North Carolina,2015,4909108,4372773,453420,2903486,1583227,772051,1023814,410749,582932,57856,77040,25920,8259444,6244106,3144431,1390162
North Carolina,2016,4948265,4460824,404584,2959650,1628060,786113,1038479,414947,593225,59667,79446,26779,8455476,6379468,3246068,1290195
North Carolina,2017,5019831,4571020,352287,3001888,1686248,797267,1055248,422908,609349,62195,83338,28123,8658835,6540805,3321781,1186403
North Carolina,2018,5071505,4665822,312610,3053394,1746690,804288,1004157,429622,681065,65097,87271,29456,8851312,6686506,3403413,1100719
North Carolina,2019,5139789,4764135,281344,3093659,1809046,814186,1003016,444509,693378,68435,91227,30783,8983255,6781282,3469932,1076994
North Carolina,2020,5210600,4833887,278344,3141655,1881947,810312,1011040,436607,693981,70978,94483,31993,9093981,6869788,3526254,1084103
North Carolina,2021,5219602,4845768,273629,3116929,1932646,790717,995405,437710,689290,75815,101094,34209,9076155,6836051,3526435,1092162
North Dakota,2012,383089,364782,12709,160181,125873,63270,86345,45188,44106,68293,83141,28700,595924,526715,158508,65028
North Dakota,2013,389669,371612,12617,163357,128509,63978,86543,46883,45699,70767,86449,29732,608048,536725,161419,66609
North Dakota,2014,397250,379972,12213,166505,132325,65934,86342,48307,47064,72770,90140,30894,624733,549817,167201,65428
North Dakota,2015,404820,387716,11464,170791,135673,65679,87277,51025,48062,74708,93044,32035,642145,562928,171717,64162
North Dakota,2016,412931,395584,11250,172439,139588,67471,87466,50345,50714,77277,96309,33107,658279,576132,177148,62033
North Dakota,2017,417893,400454,11085,174386,144412,68323,87386,49833,50500,80091,99878,34256,670578,584587,182556,58701
North Dakota,2018,418604,400841,11689,177138,147326,69746,81273,49201,53295,83272,103731,35373,681756,590899,188273,54485
North Dakota,2019,420291,402322,11406,177980,150019,68887,81181,49227,53008,86249,105819,36062,685779,592173,190704,54427
North Dakota,2020,421736,401579,12861,178113,153663,68683,80224,47770,51239,86798,106573,36289,689270,592124,196720,53835
North Dakota,2021,424182,403612,13152,183789,156596,70138,78680,47435,50763,92066,111910,37343,699604,595545,203891,57010
Ohio,2012,5880517,5300141,569218,3257971,1803448,936884,1314054,420506,825249,61163,76523,25857,10037542,8022270,3425095,1318597
Ohio,2013,5859516,5266386,582953,3310968,1811034,942008,1291770,409801,811773,61371,77195,26046,10056062,7919412,3531790,1317967
Ohio,2014,5848381,5303013,536573,3349287,1838874,941671,1287262,408896,826310,62104,78539,26520,10149161,7886607,3655096,1237272
Ohio,2015,5852224,5366673,477251,3377173,1881496,943596,1282772,412513,846296,62817,79891,26953,10294292,7901673,3801624,1108605
Ohio,2016,5857720,5425647,423956,3398139,1921401,948351,1284064,412735,859096,64433,82269,27800,10443792,7918881,3952861,970187
Ohio,2017,5875255,5488180,378735,3415557,1974984,951545,1276727,414193,870731,66885,85559,29011,10588908,7951527,4070750,847730
Ohio,2018,5901307,5549577,343232,3431483,2026041,954101,1209670,416148,943617,69837,89168,30304,10725441,7972087,4202287,743259
Ohio,2019,5918471,5595444,314483,3438113,2070254,960511,1197246,417199,950234,72439,92726,31552,10780020,7972137,4268309,702499
Ohio,2020,5927187,5603630,313829,3458406,2108045,945383,1185082,416972,948148,74391,95193,32465,10793219,7970492,4287377,708532
Ohio,2021,5981645,5656463,314406,3467837,2172892,934501,1175651,420233,953186,79470,101540,34526,10866334,7997907,4322066,735559
Oklahoma,2012,1834109,1689965,122629,1090355,549453,295459,421340,204233,219480,56068,71663,24046,2981811,2283986,1138748,681834
Oklahoma,2013,1834366,1686404,127842,1116417,551617,298034,416911,201897,217945,56464,72367,24208,3023037,2286851,1176993,679478
Oklahoma,2014,1843140,1699610,124804,1134695,562025,300128,414893,199754,222810,57299,73941,24695,3075817,2315865,1204848,661609
Oklahoma,2015,1854061,1719541,115978,1149119,571918,303533,416136,200510,227444,58029,75271,25032,3140751,2357795,1233938,627673
Oklahoma,2016,1861235,1733000,110120,1164024,580967,304963,417622,199941,229507,59742,77212,25628,3200667,2396219,1263489,594148
Oklahoma,2017,1869043,1746419,105375,1174218,594689,304702,416270,199517,231241,61541,79941,26461,3249592,2432776,1285054,566777
Oklahoma,2018,1878306,1761328,99087,1185090,606210,305982,396349,199324,253463,63574,82950,27432,3291998,2469516,1301880,545570
Oklahoma,2019,1885928,1772123,94834,1194249,615904,310390,392689,199411,253729,65544,85847,28422,3309818,2477793,1317434,541405
Oklahoma,2020,1893873,1779157,95441,1203485,633094,307078,389120,195883,253982,67511,88048,29873,3310379,2474157,1329097,556644
Oklahoma,2021,1902597,1786742,94856,1191629,649198,305246,381464,195995,254839,71155,92549,30976,3315089,2468080,1343419,554123
Oregon,2012,1957085,1743524,210379,1115689,627719,315529,426554,164625,209097,61438,77630,26702,3191034,2577069,1093370,605847
Oregon,2013,1961287,1736894,221191,1144739,634691,318427,419680,157860,206236,61609,78028,26809,3225695,2555840,1154634,603893
Oregon,2014,1961375,1752414,206222,1177777,642885,325819,417744,156774,209192,61890,79373,27173,3305170,2546568,1255745,556283
Oregon,2015,1976314,1789807,184016,1201355,662173,333964,419477,158863,215330,62964,80948,27684,3420441,2578617,1358757,480330
Oregon,2016,1995937,1832620,160797,1223817,687982,340333,425966,160561,217778,65479,84441,28822,3532593,2630821,1438518,410770
Oregon,2017,2026747,1885983,138139,1233328,718991,344139,432409,167497,222947,69031,89078,30410,3633545,2676727,1505586,352236
Oregon,2018,2061035,1934643,123485,1252339,748718,351967,413993,173847,246118,72823,94186,32045,3748383,2728149,1586088,293690
Oregon,2019,2096692,1979043,114559,1264496,780028,356076,415532,176578,250829,76946,98950,33763,3813999,2780897,1606116,275522
Oregon,2020,2134435,2014487,116297,1273987,813564,354338,417359,179755,249471,80630,103600,35393,3861117,2827323,1618554,274414
Oregon,2021,2150814,2026107,120586,1283448,830571,352631,413446,179832,249627,86066,110885,37816,3889071,2835679,1637274,278280
Pennsylvania,2012,6487488,5930125,548580,3778155,2129633,1017441,1468892,505997,808162,65980,84421,28190,11284898,9221385,3858213,1207901
Pennsylvania,2013,6503761,5914876,581533,3806643,2143993,1029157,1451596,493001,797129,66646,85586,28502,11296309,9145205,3932285,1229005
Pennsylvania,2014,6508402,5946480,556468,3842894,2168039,1042444,1445252,492477,798268,67521,86912,28912,11358157,9131496,4006509,1195810
Pennsylvania,2015,6521759,6001889,514993,3863052,2202299,1056168,1439725,495496,808201,68158,87959,29291,11468414,9159582,4095378,1106674
Pennsylvania,2016,6516915,6043693,468440,3885865,2247642,1065358,1427752,494564,808377,69960,90446,30137,11579382,9182194,4211358,1000216
Pennsylvania,2017,6523666,6096977,422016,3896305,2297693,1063494,1420974,498590,816226,72692,94204,31476,11693210,9210968,4320037,893635
Pennsylvania,2018,6536846,6151998,379765,3895660,2349748,1071092,1336980,503095,891083,75477,97993,32889,11802355,9220970,4448586,785624
Pennsylvania,2019,6553389,6199456,347378,3889574,2408478,1075280,1314706,503424,897568,78521,102124,34352,11872063,9187926,4569485,715285
Pennsylvania,2020,6566126,6206839,351248,3889923,2477901,1054962,1292717,499393,881866,80996,105058,35518,11884753,9159609,4633997,705891
Pennsylvania,2021,6671309,6295594,367296,3915728,2558273,1050891,1288223,500145,898062,86142,111872,37725,12053542,9236368,4734282,717759
Puerto Rico,2012,1365560,1121428,242218,1566571,341429,227121,311353,114323,127202,22801,33478,10850,3400880,1563850,2072553,289233
Puerto Rico,2013,1348444,1099138,247824,1576936,340104,225969,304909,107815,120341,23018,33761,11068,3380137,1512771,2097059,276595
Puerto Rico,2014,1325326,1081146,242808,1585700,338802,222320,302378,104668,112978,23235,34174,11331,3353307,1454392,2124101,259157
Puerto Rico,2015,1300388,1063350,235772,1583765,339300,219098,294504,102094,108354,22976,34046,11394,3320095,1410630,2133541,236504
Puerto Rico,2016,1283190,1055106,226880,1580467,338815,216879,293487,100517,105408,23417,34710,11688,3280869,1378417,2129630,221945
Puerto Rico,2017,1262220,1040136,220597,1574064,336606,215188,287291,96572,104479,23793,35681,12081,3227226,1343808,2113416,214967
Puerto Rico,2018,1240033,1028500,209950,1552967,333099,213927,271820,95111,114543,24391,36458,12451,3151779,1302547,2078056,209792
Puerto Rico,2019,1227292,1028513,196934,1531733,336217,212643,269020,93707,116926,24979,37484,12914,3077699,1276820,2028478,215827
Puerto Rico,2020,1210925,1026380,182171,1517914,337385,211394,266213,93829,117559,25468,37911,13318,3011035,1256511,1980359,219775
Puerto Rico,2021,1238879,1055843,180168,1559057,342469,219378,273049,97061,123886,26745,40087,14047,3061778,1266267,2020115,224038
Rhode Island,2012,568800,511323,53904,288634,187084,100047,127676,37188,59328,72872,90262,30005,920159,743402,309121,115177
Rhode Island,2013,569175,509865,56125,290210,187957,101685,125585,35965,58673,72717,91452,30469,918234,732338,315385,117282
Rhode Island,2014,568439,511362,53761,294412,186267,103342,125695,36772,59286,73217,92281,30765,928036,726705,330198,109120
Rhode Island,2015,569623,518170,48418,295551,191163,104636,126595,37389,58387,74045,92689,31118,941771,729414,341959,96159
Rhode Island,2016,567285,520482,43600,301076,195318,104026,123495,38607,59036,75655,95033,31904,955002,730179,355775,83430
Rhode Island,2017,568020,526071,38634,303309,200222,103607,124280,39007,58955,79043,98954,33315,970742,732215,369803,69781
Rhode Island,2018,565997,527972,34479,307372,203264,102905,118189,38351,65263,81822,102894,34619,986610,735362,384173,54269
Rhode Island,2019,567926,533878,30455,308093,213004,101088,116639,38388,64759,86258,108155,36121,994837,743532,385804,46738
Rhode Island,2020,570567,535140,31263,307554,216935,98544,115968,39948,63745,89330,111700,37504,997069,745539,387296,44575
Rhode Island,2021,592466,552707,35428,313838,225984,101248,119202,40813,65460,95198,119096,39603,1028363,760984,405999,47506
South Carolina,2012,2280559,1995222,248835,1394516,644550,359751,503330,198235,289356,55058,70863,23906,3763097,2886748,1431609,764616
South Carolina,2013,2295655,2003023,258444,1425045,651733,368999,505499,189433,287359,55058,70910,23943,3816682,2887085,1490073,761843
South Carolina,2014,2306384,2031997,242145,1462037,662534,376857,507727,189658,295221,55506,71602,24222,3890718,2910415,1556826,737418
South Carolina,2015,2323906,2075274,217977,1492642,686558,379346,514852,190040,304478,56343,72700,24604,3999311,2976961,1616742,680185
South Carolina,2016,2354372,2129323,194454,1517181,713327,385345,524669,192123,313859,58158,75385,25521,4108301,3051388,1679520,627973
South Carolina,2017,2381900,2181046,170257,1544566,734447,395383,531293,197855,322068,60643,78694,26645,4216986,3125702,1734552,578318
South Carolina,2018,2411983,2227307,153242,1573200,758815,398666,510970,204307,354549,63437,82909,27986,4323261,3200163,1789543,535224
South Carolina,2019,2447854,2275531,139526,1596544,793973,402999,506822,209803,361934,66357,87127,29426,4407940,3272656,1821303,515322
South Carolina,2020,2484102,2312831,135484,1627643,826896,403720,507883,211658,362674,68813,90694,30727,4472269,3321549,1864315,518723
South Carolina,2021,2479690,2313378,130624,1617675,846939,397008,495012,213152,361267,72899,96108,32823,4463144,3300528,1865527,521410
South Dakota,2012,441775,416687,21687,194895,144533,72521,100862,45817,52954,62967,76985,25570,703277,581884,229060,94369
South Dakota,2013,444211,418991,22250,199166,144412,73795,102722,45756,52306,63195,77395,25740,712084,583844,234565,95355
South Dakota,2014,450131,425816,21364,201298,149144,73791,103109,46209,53563,64636,78762,26311,724497,592455,238661,92492
South Dakota,2015,453990,430853,20220,203814,150143,74626,103270,47344,55470,65237,80037,26747,734488,596647,244046,91018
South Dakota,2016,455936,434693,18636,207699,152584,73521,103818,47719,57051,66825,82370,27516,747562,605587,250826,86112
South Dakota,2017,458023,438339,17018,208427,154339,74042,103990,49219,56749,69425,85600,28761,756360,610871,254383,81667
South Dakota,2018,461750,442773,16252,211888,158390,76049,97730,48575,62029,72706,89092,29801,767332,618728,257408,79489
South Dakota,2019,462290,443891,15736,216753,161150,77331,96031,47416,61963,75168,92017,30773,772529,619525,262680,80727
South Dakota,2020,466573,447607,16281,220312,167058,75120,95212,48535,61682,77042,94036,31415,779526,625442,264927,82407
South Dakota,2021,466180,448357,14841,220445,168836,75598,93895,47708,62320,81756,100838,33468,782108,627779,263471,82946
Tennessee,2012,3137286,2815491,304598,1892804,933619,474974,720766,264367,421765,54737,71757,24294,5383616,4102168,2018136,867752
Tennessee,2013,3140665,2806948,316682,1937768,940208,476481,715642,256594,418023,54779,72143,24409,5412829,4075311,2081050,887807
Tennessee,2014,3149077,2835895,296819,1976173,952162,482800,713960,254514,432459,55459,73630,24811,5485606,4099575,2139286,864874
Tennessee,2015,3172519,2888742,266297,2002436,975846,490921,718654,255715,447606,56110,74677,25227,5578318,4146190,2196491,819113
Tennessee,2016,3193436,2937131,238372,2029002,999560,497980,722927,259734,456930,57747,77112,26019,5687677,4207985,2264887,757920
Tennessee,2017,3225549,2996610,210756,2044708,1029674,509260,725297,264251,468128,60217,80742,27277,5788161,4266161,2322101,706290
Tennessee,2018,3257398,3047809,191544,2064459,1059099,517862,687380,267582,515886,63096,84434,28511,5886791,4330447,2375977,660872
Tennessee,2019,3301501,3109872,172799,2075652,1099119,526074,688739,273342,522598,66242,88501,29859,5962705,4386203,2405627,639556
Tennessee,2020,3343918,3147330,177361,2093324,1141044,520798,686381,274115,524992,68793,91215,30869,6014822,4447644,2430232,649312
Tennessee,2021,3399281,3201140,179568,2105502,1184226,521652,684644,276831,533787,73248,97441,32908,6076473,4500298,2447597,680094
Texas,2012,12507191,11440956,960408,6602867,3919380,2003418,2880468,1282484,1355206,60621,81437,25809,19026868,14504075,6568811,5696586
Texas,2013,12691031,11569041,1020132,6777105,4001463,2053025,2878221,1274423,1361909,61066,82269,26019,19412065,14611199,6870028,5746305
Texas,2014,12889163,11809010,982580,6968919,4119155,2098129,2904186,1291458,1396082,61958,83936,26513,20002426,14964342,7141799,5610908
Texas,2015,13101788,12094262,912068,7139380,4246418,2137635,2950995,1314287,1444927,62717,85545,26999,20698446,15483381,7363320,5363985
