state,year,in_lf,employed,unemployed,not_in_lf,Man_bus_sci_arts,service,sales_office,construction,prod_tran_mov,median_f_income,mean_f_income,per_cp_income,pop_hea_ins,pop_hea_ins_pri,pop_hea_ins_pub,pop_no_hea_ins
Kentucky,2015,2080437,1891381,174308,1412661,622759,318695,451789,180841,317297,55367,71153,24063,3821976,2796136,1560016,490262
Kentucky,2016,2085433,1914189,156509,1425632,632394,319664,454253,179689,328189,56522,73193,24802,3911579,2812804,1648455,415778
Kentucky,2017,2093572,1938150,140717,1432494,645598,323467,456935,179029,333121,59003,76499,25888,3998992,2828848,1735422,341351
Kentucky,2018,2101888,1959442,128358,1440904,662310,326445,426842,179662,364183,61059,79553,26948,4091779,2839537,1828939,265416
Kentucky,2019,2109169,1978477,116945,1444700,682556,325164,424737,179942,366078,63684,83043,28178,4117796,2835843,1861843,248714
Kentucky,2020,2121356,1993889,113295,1446156,701287,322119,423463,180414,366606,65893,85749,29123,4133261,2846171,1882476,246078
Kentucky,2021,2135988,2009185,112695,1452221,718077,317925,422590,178164,372429,70178,90939,30634,4159118,2838461,1915109,257226
Louisiana,2012,2192304,1993119,182864,1350251,626510,374575,492899,252253,246882,56047,73466,24264,3663319,2649169,1472664,762016
Louisiana,2013,2203325,1995378,192166,1374635,633208,377217,489297,247268,248388,56288,73921,24442,3700431,2651575,1504735,763555
Louisiana,2014,2206928,2002410,189644,1403101,638903,384169,485169,244370,249799,56755,75064,24775,3750249,2669569,1540303,747454
Louisiana,2015,2208869,2016049,178150,1425294,654118,386937,481939,244473,248582,57144,75804,24981,3822370,2717728,1571226,699752
Louisiana,2016,2209139,2025728,168326,1445774,666169,391605,478367,241025,248562,58068,77509,25515,3901152,2756186,1623022,641160
Louisiana,2017,2204055,2031238,157186,1469952,672365,389700,481307,238021,249845,60064,79831,26205,3992645,2787120,1692916,566927
Louisiana,2018,2197041,2031115,149850,1480939,681589,391761,450431,236260,271074,61785,82523,27027,4072162,2787281,1785609,487112
Louisiana,2019,2191990,2033758,141020,1490708,694364,390254,447126,233659,268355,63572,85218,27923,4127478,2767380,1869189,431416
Louisiana,2020,2185171,2023915,142088,1502936,715228,379727,439252,224611,265097,65427,88371,29522,4161694,2742697,1938529,395259
Louisiana,2021,2179709,2013907,146299,1499812,731491,373546,428393,221493,258984,69093,92154,30340,4177953,2692592,2005256,377126
Maine,2012,706163,651335,52318,383592,225204,118168,159268,72169,76526,60408,74550,26464,1179601,885055,484910,134501
Maine,2013,703066,647099,53866,389783,227403,118513,155969,70871,74343,61107,75527,26824,1177659,874521,493357,136130
Maine,2014,700142,646438,51931,395077,228383,118422,155031,70518,74084,61824,76851,27332,1177591,869339,498929,136759
Maine,2015,697913,648687,47497,400162,229781,120088,155292,69640,73886,62279,77831,27655,1182794,875890,498505,132030
Maine,2016,696028,652638,41620,405660,234520,120381,153816,69796,74125,64294,80057,28473,1190880,889142,494765,124723
Maine,2017,697342,658693,36790,407186,241309,120502,152919,70206,73757,67340,83796,29886,1196879,904059,486545,118775
Maine,2018,699180,665188,32203,410177,247467,120974,146416,70257,80074,70370,87523,31253,1207993,918696,484847,109641
Maine,2019,701270,670417,28922,412779,255721,119857,144027,70802,80010,73756,91617,32637,1216025,927791,487981,103829
Maine,2020,706220,675784,28442,414558,262159,117869,141997,72803,80956,76192,94310,33774,1223980,938174,493568,101045
Maine,2021,713221,681187,30163,421572,270644,115875,140132,72099,82437,81740,101983,36171,1243077,944848,508487,98944
Maryland,2012,3199290,2924344,246720,1399424,1279592,487271,687203,239791,230487,88092,110686,36056,5076842,4286631,1430487,609773
Maryland,2013,3214633,2926198,260567,1431146,1292634,494955,679897,232132,226580,88738,111740,36354,5134261,4275970,1509613,602791
Maryland,2014,3233680,2949440,257918,1462088,1311059,501390,673989,233699,229303,89416,112955,36670,5222379,4291084,1599423,571092
Maryland,2015,3241222,2976504,238027,1496183,1326578,511841,671460,233352,233273,90089,113668,36897,5313662,4318257,1679957,523072
