state,year,total_pop,civilian_noninst_pop,male,female,age_under_5,age_5_9,age_10_14,age_15_19,age_20-24,age_25_34,age_35_44,age_35_54,age_55_59,age_60_64,age_65_74,age_75_84,age_over_85,median_age,race_one,race_twomore,race_white,race_black,race_ai_an,race_asian,race_island,race_others,race_hisp,race_nhisp,native,Foreign_born,other_lang,pop_over16
Alabama,2013,4817678,4693822,2336020,2481658,299571,304412,321104,327579,347110,618482,610792,675347,322017,292003,401417,217634,80210,38.2,4741250,76428,3393927,1304167,58134,72528,3737,65898,191838,4625840,4631045,168232,235741,3806434
Alabama,2014,4799277,4716915,2328592,2470685,301925,306456,320031,332287,345240,612596,615375,681953,316960,285880,387589,214771,78214,38.1,4727132,72145,3388895,1294437,57376,69176,3345,62114,188294,4610983,4651201,166477,235709,3828799
Alabama,2015,4841164,4735953,2346193,2494971,292771,305707,313980,324809,342489,626564,606216,656639,332234,297361,434510,225663,82221,38.6,4755752,85412,3400118,1320276,58977,77731,4858,69651,193503,4647661,4663396,167224,235540,3846845
Alabama,2016,4830620,4749786,2341093,2489527,295054,305714,318437,324020,348044,621592,609415,665372,326349,297297,416983,220721,81622,38.4,4748974,81646,3396662,1312584,58251,75634,5186,69042,193492,4637128,4675660,165504,233260,3864302
Alabama,2017,4864680,4761291,2355799,2508881,292125,302174,312093,323914,334416,632660,599382,641069,334011,309004,463057,237339,83436,38.9,4773061,91619,3398104,1334893,61432,84654,5147,77847,203146,4661534,4682845,167926,234385,3876136
Alabama,2018,4850771,4770692,2350806,2499965,292163,303938,313308,324606,340119,628088,601634,648384,332906,303593,448837,230226,82969,38.7,4761937,88834,3395851,1328088,60147,80895,4817,75331,198375,4652396,4696569,168111,236982,3894696
Alabama,2019,4876250,4785040,2359355,2516895,293187,301064,310456,322486,328180,637947,596388,632659,333209,315793,476681,243851,84349,39,4784030,92220,3402366,1340976,61168,86490,5243,78390,208626,4667624,4703303,172947,244561,3907144
Alabama,2020,4893186,4797215,2365734,2527452,293932,294776,315204,321308,323960,641867,595256,625832,331903,321714,491041,247768,88625,39.2,4773864,119322,3411460,1349127,61655,89031,5155,103224,212951,4680235,4725133,168053,243094,3926842
Alabama,2021,4997675,4813429,2429703,2567972,295632,301814,329794,329732,326900,647247,615110,633931,337355,335733,511902,248809,83716,39.3,4842360,155315,3479535,1381411,68630,93041,5832,135130,224659,4773016,4824246,173429,249620,4005499
Alaska,2012,711139,4920010,370127,341012,53591,50142,51202,52159,56502,102535,93563,109280,51177,35216,35849,15502,4421,33.8,654347,56792,527814,34752,137862,49781,10758,11075,40371,670768,661798,49341,106995,545497
Alaska,2013,728300,686905,380119,348181,54498,51185,51427,50905,59966,111054,92321,103682,51300,39721,40949,16077,5215,33.4,669779,58521,535675,36694,141127,54272,12349,11650,45247,683053,669941,50375,108077,553214
Alaska,2014,720316,696885,375798,344518,54362,50374,51821,51612,57846,107024,92362,106850,51635,37413,38394,15701,4922,33.6,663559,56757,530935,35707,139640,51854,11731,11530,42832,677484,676620,51680,109483,560680
Alaska,2015,736855,704405,385296,351559,54432,52309,50793,49133,59489,115775,92056,99414,52056,42093,46577,16759,5969,33.6,674515,62340,538969,37800,143587,58279,13301,13314,49031,687824,679328,54047,109878,565212
Alaska,2016,733375,709358,384160,349215,54953,51339,51171,50306,61166,114178,91616,100674,51498,40768,43803,16501,5402,33.4,671620,61755,538294,37906,141686,56670,12824,12708,47808,685567,681608,55247,110312,568732
Alaska,2017,738516,712964,385579,352937,54240,52628,49721,47451,56749,118519,92679,93344,50904,43853,53366,18815,6247,34,676055,62461,534625,36217,145816,61274,14412,14881,51186,687330,682522,56043,109554,571453
Alaska,2018,738565,714038,386319,352246,54267,51824,50321,48153,58558,117976,92305,96077,52037,42707,50640,17779,5921,33.9,675852,62713,537924,36148,144878,59965,13910,14043,50162,688403,681117,57399,110903,571528
Alaska,2019,737068,714106,384915,352153,53237,52810,49269,46704,54462,119324,93384,90697,50085,44513,56287,19809,6487,34.3,676403,60665,530565,35935,147196,61128,14450,14672,51870,685198,679401,57667,109934,571681
Alaska,2020,736990,712356,384653,352337,52302,52825,49395,46257,52775,118606,94294,89051,49124,44732,59344,21404,6881,34.6,668158,68832,529303,37226,146557,64669,16627,20033,53059,683931,679648,57342,108510,572684
Alaska,2021,735951,711104,384749,351202,50791,53270,49647,47081,50780,116525,96664,87719,47145,46141,61465,22095,6628,35,662005,73946,525009,37173,148918,64667,16413,25853,53604,682347,678026,57925,106924,572165
Arizona,2012,6410979,709438,3187926,3223053,455375,448721,450322,455730,450876,863824,826384,836953,377080,351204,505280,284635,104595,36,6230998,179981,5241147,313735,340022,227957,24520,455347,1902946,4508033,5542160,868819,1602924,4967615
Arizona,2013,6561516,6304406,3258791,3302725,440616,453952,455871,454843,471458,874746,829680,840781,394463,370619,559095,301840,113552,36.5,6360984,200532,5344789,335856,352996,249495,27079,466855,1977026,4584490,5609835,869868,1616190,5039711
Arizona,2014,6479703,6373367,3221367,3258336,446556,452538,452033,455848,461534,865771,827151,839805,384358,362387,530816,292747,108159,36.3,6288438,191265,5296416,325913,346368,238727,25258,451466,1935948,4543755,5677869,883647,1643107,5121781
Arizona,2015,6728577,6453706,3344106,3384471,434939,457144,454665,458070,483124,899711,835719,840159,406293,388602,620856,326244,123051,37.1,6505998,222579,5424677,358764,369109,268095,28637,521066,2054849,4673728,5745924,896004,1671420,5207123
