state,year,total_pop,civilian_noninst_pop,male,female,age_under_5,age_5_9,age_10_14,age_15_19,age_20-24,age_25_34,age_35_44,age_35_54,age_55_59,age_60_64,age_65_74,age_75_84,age_over_85,median_age,race_one,race_twomore,race_white,race_black,race_ai_an,race_asian,race_island,race_others,race_hisp,race_nhisp,native,Foreign_born,other_lang,pop_over16
Arizona,2016,6641928,6533509,3299088,3342840,433835,455634,456495,456343,478317,886173,833412,840625,402381,378638,588977,312535,118563,36.8,6430083,211845,5391169,348422,360878,260295,27497,482227,2014711,4627217,5827029,901548,1691656,5290839
Arizona,2017,6946685,6620233,3453439,3493246,436102,452832,467267,468197,488355,945811,855220,845263,420490,408828,674235,355536,128549,37.4,6693802,252883,5580864,390181,391620,300145,31266,528714,2163312,4783373,5898136,911810,1720587,5371341
Arizona,2018,6809946,6701990,3385055,3424891,434757,454885,458293,462339,483497,917814,841712,840910,413051,396326,644932,336809,124621,37.2,6572038,237908,5480895,370788,378237,280213,29823,529255,2103523,4706423,6013533,933152,1770542,5498826
Arizona,2019,7050299,6838270,3504509,3545790,433968,450570,471732,473352,488145,964947,866788,847362,427508,419179,700520,375282,130946,37.7,6787262,263037,5671055,405266,399151,310727,32339,517743,2208663,4841636,6109648,940651,1795986,5600921
Arizona,2020,7174064,6941028,3564979,3609085,431224,444859,482609,478165,491151,986787,882115,850945,436015,427990,729598,392221,140385,37.9,6674467,499597,5752282,425315,405281,326446,33447,766450,2260690,4913374,6226453,947611,1803314,5720956
Arizona,2021,7079203,7065326,3533895,3545308,412606,440221,480043,476470,477856,966670,882914,838963,432889,426712,731373,379268,133218,38.1,6344182,735021,5675246,431870,413837,330068,33431,975548,2257429,4821774,6157084,922119,1772620,5650624
Arkansas,2012,2916372,6976512,1431252,1485120,196735,198270,195805,203374,201149,375531,368742,402090,184964,167529,236461,135050,50672,37.4,2860268,56104,2337691,471569,47333,42765,6973,68931,185239,2731133,2787223,129149,192405,2285328
Arkansas,2013,2947036,2862023,1447235,1499801,193697,200107,197225,200220,205824,381975,367155,395446,189742,173470,251769,137722,52684,37.6,2887798,59238,2360719,478513,48193,46905,8517,66295,198109,2748927,2799972,133397,197038,2301443
Arkansas,2014,2933369,2879435,1439862,1493507,195357,200246,196350,201018,203844,379638,366541,399904,188978,169771,243527,136433,51762,37.5,2875062,58307,2349366,475073,47744,45838,7449,68992,192264,2741105,2811266,135770,196342,2315782
Arkansas,2015,2968472,2893883,1456694,1511778,190884,201293,195820,201365,205519,385316,367023,385891,194174,176200,269411,140847,54729,37.7,2902393,66079,2367649,484170,50855,51277,9295,74607,207049,2761423,2819386,138822,199882,2328384
Arkansas,2016,2958208,2905193,1451913,1506295,191780,201216,196569,198997,206905,384668,366649,390627,192809,174325,260630,139653,53380,37.7,2895671,62537,2365477,481428,49291,49925,9098,68462,203226,2754982,2829438,139034,197665,2339307
Arkansas,2017,2990671,2915402,1468412,1522259,190311,197784,197795,201068,204406,389419,368584,376480,195360,181928,284024,147254,56258,37.9,2914819,75852,2372016,488364,56532,55539,10887,86762,219052,2771619,2836865,141079,201889,2351061
Arkansas,2018,2977944,2924569,1461651,1516293,190144,199627,196449,200553,205401,387753,367460,381092,193913,179385,277145,143772,55250,37.9,2906122,71822,2367461,486996,53647,53191,9733,82241,213246,2764698,2848191,142480,207009,2364108
Arkansas,2019,2999370,2937135,1471760,1527610,189636,196874,197804,201105,202312,391817,368457,371811,195220,185556,290373,151782,56623,38.1,2918833,80537,2374427,489192,59120,57895,11465,91748,224130,2775240,2854323,145047,211516,2374747
Arkansas,2020,3011873,2945234,1478511,1533362,188445,194331,200291,200952,201132,394792,371371,366483,195694,188265,296906,153588,59623,38.3,2891893,119980,2382587,493883,61280,59949,12733,127378,229629,2782244,2863731,148142,213498,2388169
Arkansas,2021,3006309,2957271,1483520,1522789,184580,195648,203248,203530,198013,388499,376431,364713,196544,189742,300307,150237,54817,38.3,2847206,159103,2378184,494417,64805,61601,13594,160097,236001,2770308,2858150,148159,216415,2382255
California,2012,37325068,2955770,18561020,18764048,2543777,2503818,2577389,2788579,2794188,5343359,5199915,5224402,2209203,1839932,2312897,1381604,606005,35.2,35778217,1546851,24535918,2645965,680400,5545814,269476,5334489,14024109,23300959,27220329,10104739,15130082,29163075
California,2013,38066920,36783532,18911519,19155401,2521299,2531195,2552173,2709174,2887213,5513196,5175688,5248476,2327383,1983216,2553063,1417512,647332,35.6,36368747,1698173,25049792,2697319,707548,5846268,299503,5328475,14534449,23532471,27483342,10175839,15348831,29516595
California,2014,37659181,37130876,18726468,18932713,2527752,2517928,2564734,2750118,2843639,5420158,5172373,5233774,2267776,1914064,2426218,1391398,629249,35.4,36031822,1627359,24810734,2666095,691892,5680754,285151,5302616,14270345,23388836,27776284,10290636,15553189,29934838
California,2015,38654206,37551064,19200970,19453236,2499561,2538872,2536895,2633446,2891020,5701167,5159031,5215194,2418507,2083531,2822406,1475866,678710,36,36867047,1787159,25159975,2723286,728094,6122435,305202,5575498,14903982,23750224,28031378,10390086,15767634,30312429
California,2016,38421464,37912312,19087135,19334329,2511776,2535231,2542835,2667596,2906168,5614338,5177929,5246215,2385261,2036795,2688470,1446913,661937,35.8,36686567,1734897,25179712,2710216,719301,6001393,301831,5411623,14750686,23670778,28216576,10437630,15910680,30565746
California,2017,39148760,38151997,19453769,19694991,2480679,2499319,2556669,2583578,2809630,5904012,5185165,5155853,2465921,2192477,3061431,1552456,701570,36.3,37266533,1882227,25093593,2753574,757628,6431018,316802,5867118,15221577,23927183,28464359,10518488,16071014,30910058
California,2018,38982847,38488069,19366579,19616268,2493545,2526231,2543419,2609110,2859724,5822872,5180070,5202333,2453244,2143851,2946809,1509528,692111,36.1,37148133,1834714,25129934,2737283,740935,6306438,310720,5774603,15105860,23876987,28611231,10537529,16181010,31109195
California,2019,39283497,38653948,19526298,19757199,2451528,2468226,2575463,2565170,2751567,5967864,5205887,5101422,2473228,2237101,3172271,1600241,713529,36.5,37360833,1922664,25048942,2766478,762733,6551732,323042,5944874,15327688,23955809,28736287,10547210,16292017,31284669
California,2020,39346023,38787337,19562882,19783141,2409082,2431647,2597443,2548072,2694636,6007913,5233903,5039155,2485487,2254188,3270380,1609373,764744,36.7,36224007,3122016,24826054,2806900,806874,6764118,334713,7200976,15380929,23965094,28882205,10463818,16211086,31403964
California,2021,39455353,38838726,19714044,19741309,2350335,2434113,2658361,2588625,2626849,5941622,5341049,5043403,2502174,2298943,3363447,1581471,724961,37,35220136,4235217,24407973,2827328,920261,6847247,333632,8703265,15593787,23861566,29000404,10454949,16271728,31499704
Colorado,2012,5042853,38946377,2529614,2513239,340829,348656,330838,340530,353131,730849,703443,735982,329302,270950,316420,170889,71034,36.1,4876025,166828,4393408,248729,106437,185077,13851,275841,1040478,4002375,4552899,489954,789251,3955983
Colorado,2013,5197580,4949633,2608270,2589310,337435,352695,344661,341735,367651,764384,710650,724166,344010,295848,359148,179860,75337,36.2,5017374,180206,4523964,263425,110856,200876,16502,279551,1088602,4108978,4623809,495520,802652,4023722
Colorado,2014,5119329,5025295,2568343,2550986,339802,351154,337828,340914,360848,746621,705451,730396,337045,284020,337224,175283,72743,36.1,4944294,175035,4457500,255924,108759,192635,15016,280117,1064009,4055320,4690377,507203,820519,4094922
Colorado,2015,5359295,5105164,2689636,2669659,335492,355338,351831,345616,380668,798010,724366,718538,356419,314977,409242,190638,78160,36.4,5175560,183735,4680304,275390,109844,213955,17437,262658,1132292,4227003,4763134,515772,835706,4168824
Colorado,2016,5278906,5187214,2648667,2630239,336874,353327,350509,342509,375510,782545,716788,719011,350254,306739,383044,184310,77486,36.3,5095426,183480,4608186,268990,111240,209119,17266,263739,1112586,4166320,4834851,524444,851800,4245559
Colorado,2017,5531141,5267878,2780831,2750310,335199,355399,359334,354630,377987,849157,749277,715354,363001,331165,455831,201744,83063,36.6,5333813,197328,4831669,291116,117613,234847,19996,252710,1184794,4346347,4902943,533576,864637,4320213
Colorado,2018,5436519,5344703,2731315,2705204,334250,353481,357253,348183,374875,824458,736447,716635,359741,323800,432280,194990,80126,36.5,5247610,188909,4744490,281832,113069,222407,19139,262722,1157200,4279319,4988164,542977,881615,4409148
Colorado,2019,5610349,5439267,2823201,2787148,334032,353262,360944,358555,377977,871500,764183,713520,364162,338508,478345,210726,84635,36.7,5404625,205724,4896509,300065,120639,243556,21167,254042,1208172,4402177,5063836,546513,889874,4489308
Colorado,2020,5684926,5516337,2862153,2822773,330939,348555,364153,362041,378484,892273,783025,709982,370274,336863,500968,213941,93428,36.9,5347697,337229,4948790,309449,125039,252624,22372,389106,1231126,4453800,5145412,539514,876602,4568027
Colorado,2021,5723176,5588760,2895936,2827240,324246,347653,370266,369984,373987,889933,805249,712196,365606,344802,518368,212622,88264,37.1,5245106,478070,4958578,315923,143399,259198,22207,539195,1254636,4468540,5177712,545464,877549,4606399
Connecticut,2012,3572213,5629512,1739522,1832691,200031,221806,238955,254462,225619,421617,485127,570253,238882,205639,258464,166552,84806,40,3484495,87718,2874530,402249,30710,156916,3616,200109,480185,3092028,3090333,481880,715800,2859923
Connecticut,2013,3592053,3514027,1750621,1841432,194338,217491,234666,255499,234482,433145,459130,563772,253952,214499,280541,162971,87567,40.3,3493256,98797,2869748,416002,31529,169617,4035,208673,512795,3079258,3096374,487187,727241,2879150
Connecticut,2014,3583561,3526628,1745364,1838197,197395,220139,236742,255816,229708,428258,469746,568510,246210,210753,269422,164260,86602,40.2,3489450,94111,2870078,410684,31430,162352,3856,207708,496939,3086622,3101593,490460,734129,2895925
Connecticut,2015,3588570,3535851,1750270,1838300,188812,210557,228543,252522,242007,438471,439606,545977,263778,223274,303959,163137,87927,40.6,3481582,106988,2854220,427743,35617,179291,4222,204447,537728,3050842,3093061,500161,746191,2906229
Connecticut,2016,3593222,3538599,1751607,1841615,191445,214983,231075,255286,237578,436678,448840,556454,259565,219040,291955,162332,87991,40.4,3491303,101919,2861270,422002,33311,175370,4239,208214,526508,3066714,3085361,503209,750288,2911925
Connecticut,2017,3581504,3535139,1747131,1834373,184983,201006,224135,247182,245490,439848,427023,522138,266170,235949,327414,170979,89187,40.8,3468074,113430,2826557,437087,36551,188150,5255,212833,561791,3019713,3082585,511893,752209,2928091
Connecticut,2018,3594478,3541763,1754046,1840432,186188,206536,225831,249777,245849,439239,433401,535611,266501,229788,318515,167133,90109,40.8,3483824,110654,2846570,432616,36335,184858,4755,211484,551916,3042562,3067858,513646,753007,2924591
Connecticut,2019,3575074,3530088,1744245,1830829,183808,198000,221325,244249,244597,441742,424739,508428,264804,242329,336422,174887,89744,41,3456074,119000,2810795,447432,37477,191505,5775,214204,574240,3000834,3054123,520951,754756,2924968
Connecticut,2020,3570549,3524580,1741688,1828861,182708,192321,221648,241286,243381,443917,426097,493186,267164,243375,345407,175909,94150,41.1,3397902,172647,2799956,456214,35973,196347,6148,263927,587212,2983337,3049165,521384,748596,2927839
Connecticut,2021,3605330,3520172,1768860,1836470,182122,196540,224371,245790,241370,445861,439098,488283,269688,252028,357409,173149,89621,41,3378063,227267,2796534,471249,38241,201210,6454,339032,610065,2995265,3071110,534220,764114,2954661
Delaware,2012,900131,3556794,436338,463793,56062,57471,55956,63565,63746,112300,116073,132405,58161,53515,73768,40834,16275,38.7,879215,20916,652133,205367,8109,33756,857,22545,73230,826901,825226,74905,104146,718553
Delaware,2013,917060,884582,443923,473137,55949,57547,56338,61458,64882,117308,112435,131856,62616,55589,81415,42367,17300,39.1,893124,23936,659871,213065,8865,36923,1208,23153,78598,838462,831683,76763,107271,726364
Delaware,2014,908446,893326,439985,468461,56000,57316,56400,62266,64736,114685,113671,132771,59905,55050,77332,41356,16958,38.9,885380,23066,655152,209455,8727,35181,992,23855,76107,832339,840181,76879,109422,734886
Delaware,2015,934695,902268,452416,482279,55611,56566,57408,60446,63749,122685,110467,129801,65834,58295,90854,44977,18002,39.6,908864,25831,668801,220122,9266,40276,1442,23261,82662,852033,846291,80163,112249,744949
Delaware,2016,926454,911788,448413,478041,55812,56959,56966,60636,64963,120112,111429,131002,63425,57942,85922,43569,17717,39.3,901188,25266,664065,217312,8840,38746,1168,23906,80706,845748,852145,82550,111706,753039
Delaware,2017,949495,920268,459570,489925,54854,55166,58676,59798,61022,126358,110238,126453,68175,61626,99666,49025,18438,40.2,923486,26009,676471,226875,9506,42707,1498,20898,86315,863180,857704,86028,114162,762704
Delaware,2018,943732,929139,456876,486856,55282,56310,57714,60135,62751,125241,110313,128392,66862,60167,95605,46641,18319,39.8,917472,26260,674085,223594,9708,42364,1490,21282,84793,858939,862117,87378,116046,769793
Delaware,2019,957248,934743,462890,494358,54830,53774,60206,59894,59224,127618,110598,124254,67766,64910,104186,51561,18427,40.6,930169,27079,680394,229730,9976,43398,1379,21773,88364,868884,865775,91473,119624,777026
Delaware,2020,967679,942219,467720,499959,54774,55329,59081,60143,58482,128726,111973,121882,68761,66504,108971,54210,18843,41,930112,37567,684795,234353,9810,45744,1657,32013,91350,876329,876546,91133,122664,787102
Delaware,2021,981892,951930,477219,504673,54234,56481,60792,61884,57883,127878,115773,121235,69719,69638,113956,53708,18711,41.1,932380,49512,687652,241074,10981,47423,1516,46928,95278,886614,887253,94639,127239,798798
District of Columbia,2012,605759,966239,286427,319332,34718,26928,25328,41968,59385,125674,82259,75612,34064,30778,37180,21805,10060,33.9,593223,12536,248485,316435,5007,26420,866,22441,56259,549500,523711,82048,84894,513352
District of Columbia,2013,633736,594942,300030,333706,38546,29421,24069,38929,60050,140234,87033,76294,35314,32123,39650,21744,10329,33.7,618144,15592,267064,321558,5778,29657,910,26276,62637,571099,534142,85229,91935,525070
District of Columbia,2014,619371,608630,293104,326267,36492,28100,24399,40374,59699,133227,84609,75932,34942,31234,38398,21801,10164,33.8,604904,14467,258923,318150,5506,27811,907,24424,59479,559892,545110,88626,97935,536771
District of Columbia,2015,659009,623129,312629,346380,41955,32422,24759,38024,58852,149223,92780,76859,36131,32838,42680,21896,10590,33.8,640764,18245,279981,327316,6170,32063,1073,32622,69106,589903,555896,91588,103316,546805
District of Columbia,2016,647484,636610,306674,340810,40433,30517,24714,38439,59429,145477,89941,76763,36308,32164,41097,21690,10512,33.7,630157,17327,273868,324552,6122,31284,1092,29923,65803,581681,566496,92513,107580,554780
District of Columbia,2017,684498,648263,324881,359617,44692,33728,27563,37417,54117,159716,99176,76460,36453,33464,46920,23836,10956,33.9,664355,20143,296057,331477,6177,35423,1186,36594,74776,609722,577970,94421,110078,564615
District of Columbia,2018,672391,661858,319046,353345,43607,33366,25534,37168,54873,156390,95604,76580,36243,33257,45582,23058,11129,33.9,653098,19293,288443,330240,6304,33877,1067,34110,71829,600562,588340,96158,111627,573275
District of Columbia,2019,692683,674258,328644,364039,45040,34261,28945,37440,52881,161872,102301,76123,36739,33411,48154,24338,11178,34,671238,21445,302200,332103,6441,36659,1215,38106,76191,616492,597618,95065,111429,579127
District of Columbia,2020,701974,682728,333137,368837,44913,35069,30443,36863,52700,163898,105997,75847,36289,34043,49431,25211,11270,34.1,672229,29745,312609,333114,8258,37847,1186,43199,77981,623993,607781,94193,113022,586181
District of Columbia,2021,683154,692059,325490,357664,42958,35069,31449,36641,49311,155714,106798,73601,35195,33219,48972,23968,10259,34.3,644297,38857,308625,322235,8712,37986,1205,48560,76982,606172,590963,92191,110839,568405
Florida,2012,18885152,673717,9232292,9652860,1076198,1082352,1128870,1215977,1254131,2307813,2443968,2726991,1214306,1136982,1747634,1100975,448955,40.8,18475249,409903,14780950,3198937,149530,572288,29054,591432,4247427,14637725,15240820,3644332,4857847,15364895
Florida,2013,19361792,18571056,9464651,9897141,1076836,1100919,1135272,1192305,1294864,2408242,2419436,2746426,1283859,1185073,1896734,1139305,482521,41.2,18908393,453399,15122879,3335877,157018,619839,36242,579779,4517191,14844601,15392410,3698746,4944791,15563534
Florida,2014,19091156,18778532,9332589,9758567,1076304,1084998,1135630,1202527,1274194,2349398,2422042,2738571,1248299,1159268,1816699,1117145,466081,41,18660701,430455,14926579,3262238,151863,594578,32281,586068,4369920,14721236,15571963,3789829,5082199,15817611
Florida,2015,19934451,19049447,9741262,10193189,1094213,1116799,1145558,1185544,1298650,2532527,2434272,2744569,1342547,1242147,2084139,1198775,514711,41.6,19439083,495368,15545681,3461407,159640,662401,38991,602835,4806854,15127597,15770073,3875699,5218464,16077778
Florida,2016,19645772,19335250,9600009,10045763,1081057,1110752,1140728,1187205,1301825,2468945,2427295,2747409,1312091,1217474,1984853,1167015,499123,41.4,19173690,472082,15327007,3401179,156000,645847,35770,589673,4660733,14985039,15966780,3967671,5327751,16339299
Florida,2017,20598139,19621207,10071925,10526214,1117420,1131739,1176979,1201106,1284168,2665948,2493759,2748837,1399430,1314377,2247594,1280841,535941,41.9,20055799,542340,15989949,3592346,170283,712409,41004,681553,5184720,15413419,16172080,4106367,5503431,16645386
Florida,2018,20278447,19967931,9914361,10364086,1105362,1126805,1160129,1194267,1295818,2602567,2465145,2752893,1375329,1273243,2169519,1234840,522530,41.8,19763624,514823,15776621,3530474,166957,689240,39250,634828,5015015,15263432,16370929,4227210,5669908,16932309
Florida,2019,20901636,20288268,10220813,10680823,1128214,1132263,1197885,1206046,1271483,2716853,2525283,2742034,1431138,1345009,2321394,1339375,544659,42,20329615,572021,16189188,3653866,174068,734880,41216,729649,5346684,15554952,16576836,4324800,5816550,17201999
Florida,2020,21216924,20588432,10374594,10842330,1133390,1133024,1221553,1209024,1264607,2766491,2567758,2733769,1467493,1371903,2393704,1376064,578144,42.2,19939907,1277017,16371086,3735264,178120,763613,41386,1479431,5468826,15748098,16806638,4410286,5907245,17486583
Florida,2021,21339762,20897188,10489548,10850214,1118794,1147901,1252281,1227017,1244479,2742442,2626930,2735230,1481932,1415791,2442673,1359110,545182,42.3,19338037,2001725,16318319,3774605,206539,782929,41423,2325691,5593090,15746672,16861343,4478419,6030255,17577024
Georgia,2012,9714569,21027201,4747484,4967085,685245,697499,685318,713989,690010,1335594,1405189,1382109,576155,496835,617602,313881,115143,35.4,9536066,178503,6049315,3067351,72010,364252,10709,344390,853602,8860967,8775005,939564,1184672,7508748
Georgia,2013,9907756,9511663,4837995,5069761,670885,700472,703784,708712,713487,1355166,1386647,1396285,604836,529246,686153,331371,120712,35.8,9706885,200871,6152912,3166651,76088,398025,11558,319676,896717,9011039,8859747,950670,1211924,7598174
Georgia,2014,9810417,9610713,4793940,5016477,677378,699759,695624,711700,702836,1343782,1392731,1391967,592142,512481,650420,321633,117964,35.6,9617247,193170,6106816,3117526,74839,380017,11229,329991,875849,8934568,8945010,962746,1238915,7693577
Georgia,2015,10099320,9712380,4922471,5176849,660941,702690,711030,710527,724670,1378980,1375596,1403866,635477,549248,765556,354591,126148,36.2,9876863,222457,6220737,3271240,84912,433946,14290,316703,926990,9172330,9025212,981481,1272181,7792052
Georgia,2016,10006693,9812517,4883331,5123362,665305,702218,708237,707733,722995,1367284,1382195,1400099,620387,539773,724626,342718,123123,35.9,9792890,213803,6201600,3212824,80271,418415,12893,312943,915120,9091573,9104691,994629,1294897,7882965
Georgia,2017,10297484,9907239,5012229,5285255,655810,697132,718143,721206,718646,1419784,1372551,1407255,656064,578604,835224,383686,133379,36.5,10045036,252448,6285596,3378256,97559,472366,16576,322857,968463,9329021,9178400,1023235,1323530,7985333
Georgia,2018,10201635,10012994,4968887,5232748,657428,700383,714800,715326,719872,1401609,1374423,1407042,647598,562724,802397,368614,129419,36.4,9964394,237241,6254902,3326641,91594,454032,15416,319287,950380,9251255,9261501,1035983,1339751,8082220
Georgia,2019,10403847,10109427,5062096,5341751,656677,690084,724774,728645,715388,1440774,1374134,1407128,666857,592901,867295,403369,135821,36.7,10137935,265912,6315373,3436530,101415,488952,17562,334210,992394,9411453,9349973,1053874,1369112,8187263
Georgia,2020,10516579,10213659,5113936,5402643,652085,682719,734671,735465,715214,1463710,1384214,1404137,679398,605605,898600,413536,147225,36.9,10123410,393169,6353997,3499486,107995,515434,19468,446016,1013057,9503522,9448552,1068027,1384548,8296817
Georgia,2021,10625615,10321846,5191616,5433999,643718,686126,754667,752682,712566,1461985,1408856,1410815,691536,622832,924763,408963,146106,37.1,10110712,514903,6377771,3552354,127492,534717,20632,571219,1048474,9577141,9531960,1093655,1424680,8385039
Hawaii,2012,1362730,10438528,683498,679232,88203,80814,82899,85001,97681,188151,176082,191838,90474,84539,101744,63936,31368,38.4,1042419,320311,575503,41233,33199,778413,346900,34803,122882,1239848,1115928,246802,327331,1093852
Hawaii,2013,1392704,1311430,701406,691298,90103,83494,83738,82334,102172,199498,175308,185369,92479,86553,113698,62888,35070,38.2,1064271,328433,593798,46671,32825,785880,358423,36167,133485,1259219,1129563,246735,326893,1104534
Hawaii,2014,1376298,1323796,691426,684872,89223,81708,83842,83355,99953,193523,175079,188425,91805,85466,107791,63137,32991,38.3,1048964,327334,586033,44054,33800,780641,355042,36179,128171,1248127,1143424,249280,329072,1118419
Hawaii,2015,1413673,1340207,709870,703803,91645,84839,83667,79892,100685,203249,176240,182450,94644,88748,126472,63545,37597,38.5,1077044,336629,603260,46376,32621,798943,370009,33837,141827,1271846,1156980,249319,331677,1130491
Hawaii,2016,1406299,1352350,709871,696428,91057,84541,83879,80861,103909,205563,175487,181859,93338,86155,119993,63068,36589,38,1073180,333119,604474,48863,32989,788539,363422,34848,139251,1267048,1160122,253551,339539,1137804
Hawaii,2017,1422029,1362574,713772,708257,90388,85114,83667,77674,96819,205135,177944,176625,92789,89919,139078,68144,38733,38.9,1080273,341756,612335,49424,33673,803216,372829,35062,147962,1274067,1164947,256711,343763,1145914
Hawaii,2018,1421658,1369366,713981,707677,91417,84608,84030,78077,99206,205405,177403,179765,94869,88752,133674,66599,37853,38.8,1083160,338498,609981,47890,33975,802744,369673,33181,145381,1276277,1162443,259586,348139,1147445
Hawaii,2019,1422094,1370508,713260,708834,88842,84852,83615,77712,94068,204307,178976,174021,92001,90094,143921,71174,38511,39.1,1082367,339727,611108,50593,34512,802551,369956,36646,149118,1272976,1159655,262439,354344,1149147
Hawaii,2020,1420074,1369339,712250,707824,88179,84349,83438,76036,91649,202718,180102,171383,90656,90357,148050,72828,40329,39.4,1075156,344918,604632,51286,32391,803266,375003,45518,152566,1267508,1160402,259672,347961,1148836
